Flathead County, Montana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189501,11.9
189502,19.1
189503,30.4
189504,41.0
189505,45.9
189506,51.6
189507,58.8
189508,57.0
189509,45.1
189510,41.1
189511,28.8
189512,21.1
189601,16.5
189602,28.3
189603,25.8
189604,36.2
189605,43.2
189606,55.0
189607,62.3
189608,57.2
189609,45.9
189610,40.5
189611,13.8
189612,30.1
189701,21.2
189702,22.8
189703,20.7
189704,42.0
189705,55.2
189706,53.4
189707,57.5
189708,62.3
189709,50.2
189710,39.2
189711,21.4
189712,22.4
189801,22.6
189802,27.6
189803,22.0
189804,39.4
189805,47.0
189806,54.3
189807,59.7
189808,62.1
189809,50.4
189810,35.6
189811,25.2
189812,21.4
189901,18.6
189902,9.4
189903,21.0
189904,35.7
189905,42.4
189906,51.0
189907,60.8
189908,53.2
189909,51.3
189910,36.9
189911,35.6
189912,22.2
190001,27.3
190002,19.5
190003,33.7
190004,42.6
190005,48.2
190006,56.9
190007,58.5
190008,54.1
190009,47.6
190010,38.5
190011,24.2
190012,29.6
190101,18.9
190102,19.0
190103,31.2
190104,36.5
190105,49.7
190106,46.5
190107,59.4
190108,61.2
190109,44.0
190110,44.3
190111,32.1
190112,25.1
190201,18.8
190202,23.1
190203,28.8
190204,35.7
190205,46.4
190206,49.2
190207,55.6
190208,56.9
190209,47.0
190210,42.5
190211,26.9
190212,21.3
190301,24.5
190302,17.7
190303,25.7
190304,35.4
190305,42.8
190306,56.1
190307,55.6
190308,56.9
190309,46.4
190310,41.6
190311,23.9
190312,25.9
190401,23.4
190402,10.4
190403,22.6
190404,40.0
190405,45.6
190406,51.1
190407,60.2
190408,58.5
190409,51.1
190410,42.0
190411,35.1
190412,26.9
190501,19.8
190502,15.3
190503,34.6
190504,38.5
190505,44.0
190506,50.2
190507,60.7
190508,59.8
190509,51.5
190510,34.9
190511,28.3
190512,23.2
190601,23.3
190602,25.2
190603,23.9
190604,41.7
190605,44.8
190606,50.2
190607,62.6
190608,57.4
190609,51.1
190610,42.2
190611,26.5
190612,22.7
190701,6.5
190702,23.5
190703,27.5
190704,34.0
190705,44.1
190706,50.0
190707,57.2
190708,53.2
190709,47.4
190710,44.2
190711,31.4
190712,24.4
190801,21.1
190802,22.1
190803,26.8
190804,39.5
190805,43.4
190806,50.6
190807,60.7
190808,55.8
190809,50.3
190810,38.2
190811,30.7
190812,21.3
190901,10.2
190902,22.7
190903,28.8
190904,32.1
190905,42.3
190906,52.9
190907,57.2
190908,56.6
190909,51.2
190910,40.5
190911,29.5
190912,15.3
191001,19.9
191002,14.2
191003,36.5
191004,43.7
191005,48.8
191006,53.5
191007,61.0
191008,53.5
191009,47.7
191010,43.1
191011,29.8
191012,26.2
191101,16.9
191102,19.4
191103,32.8
191104,35.8
191105,43.3
191106,54.4
191107,57.0
191108,54.2
191109,46.3
191110,37.6
191111,21.4
191112,19.9
191201,17.7
191202,25.1
191203,21.2
191204,39.2
191205,46.3
191206,55.2
191207,55.3
191208,54.4
191209,43.4
191210,36.6
191211,31.1
191212,23.6
191301,13.4
191302,12.7
191303,20.7
191304,37.6
191305,44.6
191306,54.5
191307,56.9
191308,57.7
191309,49.3
191310,35.6
191311,30.3
191312,23.0
191401,24.2
191402,18.3
191403,29.9
191404,38.2
191405,47.0
191406,51.6
191407,61.6
191408,57.6
191409,48.1
191410,39.0
191411,31.6
191412,14.1
191501,18.1
191502,25.9
191503,31.6
191504,43.5
191505,45.0
191506,50.0
191507,54.6
191508,62.5
191509,46.2
191510,41.8
191511,27.0
191512,21.1
191601,-2.5
191602,19.7
191603,30.4
191604,38.0
191605,41.3
191606,50.5
191607,57.9
191608,56.5
191609,48.0
191610,36.2
191611,24.1
191612,11.4
191701,15.8
191702,16.0
191703,20.9
191704,33.0
191705,44.8
191706,50.3
191707,62.1
191708,57.6
191709,51.0
191710,38.9
191711,34.5
191712,19.1
191801,18.7
191802,18.3
191803,31.8
191804,36.8
191805,42.6
191806,56.6
191807,59.6
191808,55.8
191809,51.1
191810,42.7
191811,27.4
191812,25.3
191901,25.4
191902,18.5
191903,26.0
191904,40.7
191905,46.5
191906,55.4
191907,62.2
191908,60.2
191909,48.8
191910,31.3
191911,22.0
191912,15.0
192001,20.0
192002,23.4
192003,26.1
192004,32.3
192005,42.6
192006,50.1
192007,64.0
192008,58.9
192009,49.7
192010,38.6
192011,27.7
192012,23.6
192101,22.2
192102,26.2
192103,27.6
192104,36.1
192105,46.0
192106,55.4
192107,60.1
192108,58.4
192109,43.6
192110,42.3
192111,25.2
192112,18.4
192201,13.2
192202,10.2
192203,25.7
192204,34.6
192205,44.7
192206,57.4
192207,59.6
192208,60.5
192209,52.8
192210,42.4
192211,25.8
192212,12.7
192301,22.7
192302,14.1
192303,27.0
192304,36.8
192305,45.6
192306,52.7
192307,62.6
192308,58.0
192309,51.2
192310,38.5
192311,31.1
192312,21.7
192401,14.6
192402,29.5
192403,27.3
192404,36.6
192405,49.2
192406,50.7
192407,60.5
192408,56.1
192409,49.5
192410,40.0
192411,25.8
192412,9.9
192501,21.6
192502,29.3
192503,29.7
192504,40.7
192505,48.7
192506,54.4
192507,62.2
192508,56.8
192509,48.3
192510,32.8
192511,29.1
192512,30.4
192601,23.3
192602,30.0
192603,33.3
192604,41.1
192605,46.9
192606,53.9
192607,62.8
