Gallatin County, Montana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189501,15.2
189502,17.4
189503,25.6
189504,40.4
189505,46.1
189506,50.0
189507,58.7
189508,58.8
189509,47.7
189510,40.7
189511,25.0
189512,18.1
189601,21.7
189602,27.2
189603,23.8
189604,34.2
189605,41.8
189606,56.2
189607,61.8
189608,59.2
189609,46.9
189610,40.4
189611,17.6
189612,28.5
189701,15.0
189702,20.2
189703,18.6
189704,38.6
189705,54.0
189706,53.6
189707,58.7
189708,62.3
189709,54.0
189710,39.6
189711,25.3
189712,17.8
189801,15.1
189802,26.7
189803,19.7
189804,39.6
189805,44.1
189806,53.3
189807,59.7
189808,62.6
189809,49.8
189810,34.7
189811,23.8
189812,16.6
189901,18.5
189902,9.1
189903,20.9
189904,35.0
189905,41.2
189906,51.7
189907,60.9
189908,55.6
189909,53.3
189910,36.0
189911,33.2
189912,19.0
190001,24.8
190002,17.6
190003,32.0
190004,39.0
190005,49.4
190006,59.7
190007,59.5
190008,57.4
190009,48.8
190010,40.0
190011,26.7
190012,25.9
190101,19.4
190102,17.2
190103,27.4
190104,35.3
190105,50.6
190106,48.2
190107,64.8
190108,62.2
190109,44.8
190110,44.4
190111,34.0
190112,21.3
190201,16.8
190202,25.5
190203,25.2
190204,35.8
190205,47.7
190206,51.6
190207,56.8
190208,57.7
190209,48.5
190210,41.6
190211,26.7
190212,19.0
190301,20.9
190302,13.4
190303,23.4
190304,34.2
190305,43.0
190306,54.0
190307,56.0
190308,58.9
190309,47.1
190310,43.6
190311,25.8
190312,23.1
190401,19.9
190402,20.4
190403,23.5
190404,38.5
190405,45.7
190406,51.6
190407,58.3
190408,59.6
190409,51.6
190410,43.1
190411,36.3
190412,23.7
190501,18.7
190502,17.0
190503,33.1
190504,37.6
190505,42.2
190506,50.2
190507,60.6
190508,60.5
190509,53.2
190510,34.5
190511,29.0
190512,19.5
190601,22.4
190602,24.8
190603,19.6
190604,39.3
190605,44.6
190606,49.5
190607,60.9
190608,59.0
190609,51.8
190610,41.3
190611,25.5
190612,26.9
190701,8.8
190702,27.3
190703,29.8
190704,34.6
190705,42.8
190706,48.8
190707,57.2
190708,55.0
190709,49.5
190710,44.4
190711,30.9
190712,23.0
190801,20.7
190802,22.9
190803,26.5
190804,40.1
190805,42.8
190806,49.0
190807,61.2
190808,56.6
190809,51.9
190810,37.0
190811,29.6
190812,19.4
190901,15.4
190902,22.2
190903,27.9
190904,30.7
190905,42.3
190906,54.4
190907,59.6
190908,60.8
190909,50.4
190910,40.6
190911,29.8
190912,10.6
191001,15.6
191002,14.4
191003,38.3
191004,44.0
191005,47.1
191006,55.8
191007,62.6
191008,56.8
191009,48.3
191010,43.2
191011,30.0
191012,22.3
191101,19.4
191102,15.9
191103,32.8
191104,35.4
191105,43.8
191106,54.2
191107,57.1
191108,54.9
191109,47.6
191110,35.8
191111,22.0
191112,16.8
191201,20.1
191202,23.6
191203,16.7
191204,36.6
191205,44.1
191206,54.7
191207,56.2
191208,55.1
191209,43.1
191210,35.5
191211,31.7
191212,19.5
191301,16.4
191302,12.1
191303,22.6
191304,38.6
191305,45.4
191306,54.1
191307,57.1
191308,60.3
191309,50.4
191310,34.7
191311,30.0
191312,18.4
191401,25.4
191402,21.5
191403,30.5
191404,37.9
191405,47.5
191406,51.8
191407,61.4
191408,58.8
191409,50.0
191410,40.8
191411,34.2
191412,14.0
191501,18.8
191502,27.5
191503,30.5
191504,44.6
191505,43.6
191506,48.3
191507,54.7
191508,60.8
191509,46.4
191510,43.8
191511,27.6
191512,20.6
191601,3.5
191602,22.8
191603,33.1
191604,38.1
191605,40.2
191606,50.1
191607,61.3
191608,58.0
191609,49.5
191610,35.3
191611,23.0
191612,13.0
191701,13.7
191702,17.4
191703,17.6
191704,31.4
191705,42.7
191706,51.6
191707,64.7
191708,59.2
191709,52.8
191710,39.1
191711,35.6
191712,26.2
191801,17.0
191802,18.8
191803,31.9
191804,33.8
191805,43.2
191806,59.7
191807,59.4
191808,56.8
191809,50.6
191810,43.5
191811,25.8
191812,22.2
191901,24.2
191902,18.8
191903,27.8
191904,40.2
191905,48.2
191906,60.0
191907,65.8
191908,62.8
191909,52.3
191910,30.4
191911,21.7
191912,12.6
192001,21.9
192002,21.6
192003,23.2
192004,31.2
192005,43.6
192006,51.9
192007,62.3
192008,59.8
192009,51.1
192010,38.4
192011,25.0
192012,21.7
192101,22.1
192102,26.3
192103,29.8
192104,35.3
192105,45.3
192106,57.5
192107,62.0
192108,60.8
192109,46.0
192110,44.6
192111,28.4
192112,19.0
192201,11.6
192202,12.4
192203,25.5
192204,33.9
192205,45.3
192206,57.6
192207,59.8
192208,63.2
192209,55.4
192210,44.5
192211,24.4
192212,16.4
192301,22.6
192302,15.5
192303,24.6
192304,35.9
192305,46.3
192306,52.6
192307,64.2
192308,58.8
192309,52.8
192310,35.9
192311,31.4
192312,18.2
192401,15.6
192402,27.2
192403,23.0
192404,35.1
192405,47.5
192406,52.1
192407,60.2
192408,59.2
192409,50.6
192410,40.7
192411,26.5
192412,10.8
192501,22.4
192502,29.8
192503,30.6
192504,39.8
192505,49.1
192506,52.8
192507,63.0
192508,58.1
192509,49.3
192510,32.2
192511,27.5
192512,26.6
192601,20.3
192602,28.1
192603,29.7
192604,41.2
192605,47.9
192606,55.1
192607,62.6
192608,58.8
192609,43.6
192610,42.6
192611,31.2
192612,19.0
192701,18.3
192702,23.4
192703,28.3
192704,35.3
192705,41.2
192706,54.8
192707,61.1
192708,56.4
192709,49.5
192710,42.8
192711,30.6
192712,10.1
192801,19.8
192802,18.6
192803,29.6
192804,34.0
192805,51.2
192806,49.3
192807,60.7
192808,57.1
192809,50.8
192810,38.8
192811,28.6
192812,18.6
192901,8.4
192902,13.6
192903,28.5
192904,33.8
192905,44.1
192906,52.9
192907,61.9
192908,64.3
192909,46.1
192910,41.5
192911,24.0
192912,24.3
193001,1.0
193002,29.7
193003,25.9
193004,44.8
193005,47.1
193006,54.1
193007,62.7
193008,62.2
193009,51.8
193010,37.0
193011,26.3
193012,18.4
193101,23.1
193102,24.3
193103,28.1
193104,38.3
193105,47.8
193106,57.9
193107,63.2
193108,61.9
193109,51.9
193110,40.9
193111,23.6
193112,20.1
193201,13.9
193202,22.4
193203,21.1
193204,37.6
193205,47.8
193206,54.3
193207,61.8
193208,59.7
193209,50.9
193210,36.9
193211,33.0
193212,11.1
193301,20.6
193302,12.4
193303,29.6
193304,35.2
193305,43.0
193306,58.9
193307,64.8
193308,58.7
193309,50.3
193310,44.2
193311,32.0
193312,28.5
193401,28.3
193402,28.7
193403,34.9
193404,44.0
193405,53.6
193406,53.4
193407,62.9
193408,61.7
193409,47.1
193410,44.0
193411,34.2
193412,21.8
193501,20.7
193502,25.5
193503,26.0
193504,33.2
193505,43.4
193506,53.1
193507,62.6
193508,60.2
193509,53.6
193510,39.8
193511,22.7
193512,21.3
193601,17.7
193602,7.0
193603,27.1
193604,38.0
193605,52.3
193606,57.5
193607,67.6
193608,61.6
193609,51.2
193610,41.4
193611,24.6
193612,21.6
193701,-1.6
193702,18.8
193703,25.5
193704,35.4
193705,49.0
193706,53.0
193707,62.9
193708,60.9
193709,53.8
193710,44.4
193711,29.9
193712,20.9
193801,20.6
193802,22.9
193803,27.9
193804,37.1
193805,44.0
193806,55.2
193807,60.6
193808,60.0
193809,57.6
193810,41.2
193811,22.3
193812,23.6
193901,23.5
193902,13.6
193903,29.4
193904,41.2
193905,50.0
193906,50.3
193907,62.8
193908,60.6
193909,52.6
193910,41.3
193911,33.8
193912,28.7
194001,13.1
194002,23.4
194003,32.6
194004,37.8
194005,50.6
194006,57.2
194007,63.6
194008,62.7
194009,54.4
194010,44.6
194011,22.1
194012,24.8
194101,21.4
194102,24.5
194103,31.8
194104,37.8
194105,48.9
194106,54.2
194107,61.9
194108,60.4
194109,45.5
194110,38.8
194111,30.7
194112,21.5
194201,13.5
194202,14.5
194203,25.1
194204,40.0
194205,42.5
194206,49.9
194207,61.9
194208,60.4
194209,51.0
194210,41.4
194211,27.6
194212,24.3
194301,12.2
194302,23.6
194303,20.3
194304,42.8
