Glacier County, Montana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189501,8.9
189502,15.9
189503,30.0
189504,41.1
189505,45.8
189506,52.0
189507,57.9
189508,56.3
189509,44.5
189510,40.8
189511,27.7
189512,20.5
189601,12.8
189602,27.8
189603,22.7
189604,34.7
189605,43.3
189606,55.4
189607,61.6
189608,56.6
189609,44.1
189610,40.6
189611,4.2
189612,30.5
189701,21.0
189702,20.2
189703,16.7
189704,41.5
189705,55.4
189706,53.0
189707,57.4
189708,61.8
189709,51.0
189710,38.8
189711,16.7
189712,21.8
189801,23.4
189802,24.2
189803,17.2
189804,37.7
189805,46.1
189806,54.3
189807,59.3
189808,61.7
189809,51.3
189810,33.8
189811,24.2
189812,22.6
189901,16.3
189902,4.6
189903,14.6
189904,34.1
189905,42.0
189906,52.6
189907,61.2
189908,55.5
189909,51.9
189910,34.6
189911,37.2
189912,19.2
190001,27.0
190002,15.8
190003,31.1
190004,42.3
190005,49.5
190006,58.2
190007,57.7
190008,55.4
190009,47.2
190010,37.0
190011,23.8
190012,31.2
190101,18.6
190102,16.4
190103,31.2
190104,35.5
190105,50.3
190106,47.0
190107,58.5
190108,62.6
190109,42.5
190110,44.6
190111,31.7
190112,25.9
190201,19.8
190202,19.3
190203,26.4
190204,34.8
190205,46.4
190206,49.3
190207,56.1
190208,57.4
190209,47.9
190210,43.4
190211,25.0
190212,18.9
190301,23.9
190302,17.2
190303,20.3
190304,34.9
190305,43.2
190306,56.2
190307,55.5
190308,56.3
190309,46.6
190310,43.3
190311,22.9
190312,26.5
190401,19.5
190402,3.4
190403,17.1
190404,38.3
190405,44.1
190406,51.3
190407,60.3
190408,57.9
190409,50.3
190410,42.5
190411,36.3
190412,25.7
190501,15.6
190502,13.8
190503,33.4
190504,37.1
190505,43.3
190506,50.0
190507,60.1
190508,60.4
190509,52.0
190510,35.6
190511,30.8
190512,25.1
190601,21.4
190602,24.3
190603,21.0
190604,41.3
190605,43.1
190606,50.4
190607,61.3
190608,57.5
190609,51.5
190610,42.8
190611,24.9
190612,18.9
190701,1.2
190702,24.1
190703,23.8
190704,32.1
190705,41.7
190706,49.7
190707,56.2
190708,53.1
190709,45.5
190710,46.1
190711,32.7
190712,25.3
190801,21.6
190802,19.8
190803,22.6
190804,39.2
190805,43.8
190806,50.2
190807,60.6
190808,56.1
190809,50.4
190810,37.0
190811,30.8
190812,19.7
190901,6.2
190902,19.6
190903,26.6
190904,28.5
190905,41.4
190906,52.3
190907,57.2
190908,57.2
190909,52.7
190910,41.0
190911,25.5
190912,13.3
191001,21.6
191002,12.2
191003,37.7
191004,44.9
191005,47.7
191006,54.3
191007,61.3
191008,53.9
191009,47.4
191010,43.4
191011,27.7
191012,25.8
191101,9.2
191102,14.3
191103,32.6
191104,34.1
191105,43.9
191106,54.6
191107,55.7
191108,53.1
191109,44.3
191110,38.2
191111,19.9
191112,20.1
191201,14.9
191202,24.4
191203,15.6
191204,38.9
191205,46.2
191206,55.8
191207,54.3
191208,54.1
191209,43.4
191210,37.6
191211,32.3
191212,24.4
191301,7.8
191302,11.4
191303,16.3
191304,38.5
191305,44.3
191306,55.4
191307,56.8
191308,58.1
191309,51.2
191310,36.4
191311,32.0
191312,27.0
191401,20.8
191402,15.1
191403,27.6
191404,37.4
191405,46.9
191406,51.7
191407,62.0
191408,56.9
191409,48.8
191410,39.9
191411,31.3
191412,10.2
191501,19.6
191502,22.9
191503,28.0
191504,45.1
191505,44.2
191506,49.0
191507,54.2
191508,61.9
191509,45.1
191510,43.3
191511,26.3
191512,21.5
191601,-9.0
191602,16.1
191603,29.7
191604,38.3
191605,41.7
191606,51.4
191607,58.2
191608,56.3
191609,47.5
191610,35.0
191611,27.2
191612,9.3
191701,13.1
191702,10.7
191703,18.8
191704,31.1
191705,43.2
191706,50.7
191707,61.8
191708,57.4
191709,49.7
191710,37.6
191711,39.5
191712,10.0
191801,13.4
191802,16.1
191803,30.6
191804,35.8
191805,41.7
191806,56.8
191807,59.3
191808,57.2
191809,50.3
191810,42.6
191811,27.5
191812,25.0
191901,28.1
191902,12.5
191903,20.4
191904,40.4
191905,46.9
191906,56.0
191907,61.6
191908,60.9
191909,49.0
191910,28.8
191911,20.0
191912,17.2
192001,16.0
192002,22.0
192003,23.8
192004,28.5
192005,42.8
192006,51.3
192007,62.8
192008,59.4
192009,50.5
