Grand County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,27.3,
189502,26,
189503,39.8,
189504,49.7,
189505,58.2,
189506,65.2,
189507,72.5,
189508,73.1,
189509,63.2,
189510,50,
189511,33.5,
189512,21.4,
189601,28.3,
189602,29.6,
189603,40.4,
189604,48.3,
189605,58,
189606,71.7,
189607,74.9,
189608,71,
189609,61.7,
189610,50.3,
189611,35,
189612,28.7,
189701,27.5,
189702,27,
189703,35.3,
189704,49.5,
189705,62.3,
189706,67.5,
189707,71.5,
189708,71.1,
189709,64.9,
189710,49.7,
189711,38.4,
189712,14.4,
189801,15.8,
189802,20.5,
189803,36.2,
189804,51.5,
189805,55.1,
189806,67.9,
189807,74.9,
189808,72.6,
189809,61.6,
189810,47.8,
189811,35.9,
189812,20,
189901,21.6,
189902,25.2,
189903,39,
189904,47.9,
189905,54.1,
189906,66.2,
189907,73.2,
189908,67.2,
189909,63.8,
189910,46.4,
189911,39,
189912,20.3,
190001,30,
190002,31.5,
190003,43,
190004,45,
190005,58.6,
190006,68.1,
190007,72.6,
190008,67.6,
190009,57.5,
190010,50.1,
190011,38,
190012,27.5,
190101,24.8,
190102,32.6,
190103,36.7,
190104,47,
190105,59.4,
190106,64.7,
190107,75.6,
190108,71.4,
190109,60.9,
190110,51.4,
190111,39.4,
190112,28.1,
190201,27.8,
190202,31.3,
190203,35.4,
190204,48.4,
190205,56.6,
190206,68.1,
190207,68.9,
190208,70,
190209,60.7,
190210,50.7,
190211,37.3,
190212,23,
190301,22.9,
190302,14.4,
190303,37,
190304,45.9,
190305,54.3,
190306,65.8,
190307,71.1,
190308,71.5,
190309,58.3,
190310,48.7,
190311,35.3,
190312,23.2,
190401,21.8,
190402,35.1,
190403,41.9,
190404,50,
190405,57.8,
190406,66.3,
190407,72.4,
190408,71.6,
190409,63.7,
190410,48.3,
190411,34.9,
190412,25.6,
190501,23.1,
190502,28.5,
190503,42.1,
190504,47.1,
190505,53.6,
190506,66.8,
190507,71.7,
190508,70.7,
190509,62.8,
190510,46.1,
190511,38.3,
190512,21.4,
190601,22.9,
190602,34.1,
190603,38.3,
190604,47.1,
190605,55.4,
190606,62.8,
190607,71,
190608,69.4,
190609,60.4,
190610,47.5,
190611,36,
190612,31.8,
190701,30.4,
190702,39.2,
190703,43.6,
190704,48.8,
190705,52.2,
190706,61,
190707,70.9,
190708,68.9,
190709,60.7,
190710,52.8,
190711,34.6,
190712,27.8,
190801,23.1,
190802,28.8,
190803,39.8,
190804,48.5,
190805,52,
190806,62.8,
190807,73,
190808,69,
190809,59.9,
190810,44.4,
190811,33.4,
190812,21.2,
190901,27.9,
190902,29.6,
190903,37,
190904,43.8,
190905,53.2,
190906,67.2,
190907,73.7,
190908,71.3,
190909,60.6,
190910,51.2,
190911,36.7,
190912,13.1,
191001,20.5,
191002,26.5,
191003,45.1,
191004,49.7,
191005,58,
191006,69.1,
191007,74,
191008,71.4,
191009,64.5,
191010,48.6,
191011,40.6,
191012,26.7,
191101,29.3,
191102,31.8,
191103,42.1,
191104,47.6,
191105,57.3,
191106,65.6,
191107,70.5,
191108,70.7,
191109,63.1,
191110,45.8,
191111,32.2,
191112,21.3,
191201,20.6,
191202,30.3,
191203,37.1,
191204,42.7,
191205,54.1,
191206,64.8,
191207,69.6,
191208,69.7,
191209,55.4,
191210,45.5,
191211,35,
191212,18.6,
191301,15.2,
191302,27,
191303,34.9,
191304,48,
191305,59.3,
191306,65.8,
191307,71.5,
191308,72,
