Humboldt County, California, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,41.1,
189502,46.1,
189503,45.8,
189504,49.7,
189505,53.9,
189506,60.4,
189507,64.5,
189508,64.7,
189509,59.1,
189510,57,
189511,46,
189512,40,
189601,44.6,
189602,45.5,
189603,46.9,
189604,44.2,
189605,50.3,
189606,59.7,
189607,67.7,
189608,65.6,
189609,61.1,
189610,55.5,
189611,43.9,
189612,45.4,
189701,42.6,
189702,42.4,
189703,40.7,
189704,51.9,
189705,57.8,
189706,58.8,
189707,64.4,
189708,66.1,
189709,60.9,
189710,54.4,
189711,45.1,
189712,43.1,
189801,38.8,
189802,45.3,
189803,44.2,
189804,51.2,
189805,52.2,
189806,59.8,
189807,64.6,
189808,66.4,
189809,61.4,
189810,54.3,
189811,46.9,
189812,41.5,
189901,43.5,
189902,42.6,
189903,45.1,
189904,48.7,
189905,49.9,
189906,59.1,
189907,64.7,
189908,61.4,
189909,64.3,
189910,51.8,
189911,49.9,
189912,43.3,
190001,46,
190002,45,
190003,50.2,
190004,48.3,
190005,54,
190006,61,
190007,64.9,
190008,62.8,
190009,60,
190010,51.8,
190011,48.4,
190012,44.3,
190101,40.1,
190102,42.8,
190103,47.3,
190104,46.9,
190105,53.2,
190106,57.2,
190107,63.4,
190108,65.6,
190109,59.6,
190110,57.1,
190111,48.8,
190112,43,
190201,40.9,
190202,45.7,
190203,43.9,
190204,48.3,
190205,52.5,
190206,60.1,
190207,64.1,
190208,65.5,
190209,63.5,
190210,54.2,
190211,45.7,
190212,41.9,
190301,41.6,
190302,39.6,
190303,44.2,
190304,47.4,
190305,55.4,
190306,61.4,
190307,63.1,
190308,65.2,
190309,62.9,
190310,57.6,
190311,48.2,
190312,42.6,
190401,42,
190402,40.7,
190403,42.8,
190404,50,
190405,57.8,
190406,61.5,
190407,65.2,
190408,66.4,
190409,62.8,
190410,55.2,
190411,49.8,
190412,43,
190501,44.7,
190502,46.4,
190503,49,
190504,52.2,
190505,50.1,
190506,59.8,
190507,67.1,
190508,65.9,
190509,62.5,
190510,54.4,
190511,45.1,
190512,41.1,
190601,44.1,
190602,46.9,
190603,44.5,
190604,51.9,
190605,53.3,
190606,56.7,
190607,70,
190608,66.4,
190609,62.4,
190610,55.6,
190611,47.2,
190612,43.4,
190701,40.2,
190702,49.2,
190703,43.2,
190704,51.7,
190705,54.5,
190706,58.8,
190707,66,
190708,65.4,
190709,61.5,
190710,58.5,
190711,48.3,
190712,44.2,
190801,44.9,
190802,43.4,
190803,46.6,
190804,52.2,
190805,50.1,
190806,58.5,
190807,69.1,
190808,65.9,
190809,63.2,
190810,52.9,
190811,49.9,
190812,41,
190901,43,
190902,42.4,
190903,45.5,
190904,52.8,
190905,54.1,
190906,61.1,
190907,63.6,
190908,67,
190909,64.5,
190910,55.4,
190911,46.7,
190912,39.7,
191001,38.5,
191002,40.5,
191003,51.1,
191004,53.6,
191005,58.6,
191006,58.9,
191007,68.5,
191008,67.2,
191009,62.2,
191010,57.5,
191011,47,
191012,45.5,
191101,40.3,
191102,40,
191103,49.5,
191104,49,
191105,51.4,
191106,60.2,
191107,69,
191108,65.6,
191109,58.9,
191110,54,
191111,46.4,
191112,40.1,
191201,43.6,
191202,45.9,
191203,44.6,
191204,47.5,
191205,54,
191206,59.3,
191207,63.4,
191208,63.2,
191209,60.6,
191210,50.8,
191211,47.7,
191212,41.3,
191301,37.6,
191302,41.7,
191303,43.8,
191304,48.4,
191305,55.4,
191306,58.2,
