Park County, Montana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189501,15.4
189502,16.5
189503,24.6
189504,39.9
189505,45.0
189506,48.9
189507,57.5
189508,57.8
189509,47.0
189510,40.4
189511,24.8
189512,18.7
189601,21.6
189602,27.4
189603,23.0
189604,33.2
189605,41.0
189606,55.1
189607,61.3
189608,58.4
189609,46.0
189610,39.7
189611,15.8
189612,29.1
189701,16.3
189702,19.8
189703,17.3
189704,37.2
189705,51.9
189706,52.3
189707,57.4
189708,60.8
189709,53.2
189710,38.6
189711,24.3
189712,17.3
189801,15.6
189802,26.2
189803,19.3
189804,38.6
189805,42.3
189806,51.6
189807,58.4
189808,61.1
189809,49.0
189810,33.6
189811,23.3
189812,16.7
189901,17.4
189902,7.1
189903,19.4
189904,34.1
189905,40.4
189906,50.5
189907,59.5
189908,54.7
189909,52.1
189910,35.6
189911,31.8
189912,18.1
190001,23.6
190002,15.6
190003,30.2
190004,37.1
190005,48.5
190006,59.0
190007,58.6
190008,57.1
190009,48.0
190010,39.9
190011,26.6
190012,26.5
190101,19.0
190102,16.6
190103,26.2
190104,34.5
190105,50.2
190106,47.6
190107,64.6
190108,61.2
190109,44.6
190110,43.5
190111,34.0
190112,21.4
190201,17.2
190202,24.8
190203,24.4
190204,35.2
190205,47.3
190206,50.8
190207,56.1
190208,57.4
190209,48.3
190210,40.7
190211,25.6
190212,17.6
190301,20.0
190302,11.6
190303,21.6
190304,33.6
190305,42.1
190306,51.7
190307,55.4
190308,57.6
190309,46.3
190310,43.2
190311,26.4
190312,24.2
190401,20.9
190402,19.9
190403,24.3
190404,38.2
190405,45.4
190406,50.9
190407,57.5
190408,58.5
190409,50.5
190410,42.8
190411,36.7
190412,24.7
190501,18.6
190502,17.0
190503,32.4
190504,36.2
190505,41.0
190506,49.3
190507,59.5
190508,60.4
190509,52.6
190510,34.2
190511,29.2
190512,21.3
190601,23.2
190602,24.6
190603,18.9
190604,38.7
190605,43.4
190606,48.9
190607,59.8
190608,58.3
190609,51.8
190610,40.1
190611,25.7
190612,27.1
190701,8.9
190702,27.2
190703,29.6
190704,33.2
190705,41.5
190706,48.6
190707,56.7
190708,54.9
190709,48.9
190710,44.0
190711,30.7
190712,24.1
190801,22.0
190802,23.2
190803,26.2
190804,39.3
190805,42.3
190806,48.4
190807,60.4
190808,55.6
190809,52.1
190810,36.5
190811,29.3
190812,19.8
190901,14.4
190902,21.0
190903,26.4
190904,29.2
190905,41.3
190906,52.9
190907,59.0
190908,59.9
190909,49.8
190910,39.6
190911,29.2
190912,10.5
191001,16.3
191002,13.3
191003,38.2
191004,43.3
191005,46.1
191006,54.6
191007,61.7
191008,55.4
191009,48.2
191010,41.8
191011,29.4
191012,23.1
191101,18.8
191102,15.3
191103,32.6
191104,34.6
191105,42.5
191106,52.7
191107,55.2
191108,52.9
191109,46.6
191110,34.4
191111,21.2
191112,16.2
191201,18.8
191202,22.2
191203,14.6
191204,35.3
191205,42.4
191206,52.7
191207,54.7
191208,53.4
191209,41.4
191210,34.8
191211,31.5
191212,20.6
191301,15.8
191302,11.7
191303,21.0
191304,37.1
191305,43.8
191306,53.0
191307,55.7
191308,58.8
191309,49.5
191310,33.6
191311,29.4
191312,18.9
191401,24.7
191402,20.4
191403,29.2
191404,36.4
191405,45.8
191406,50.6
191407,59.9
191408,57.2
191409,49.1
191410,40.0
191411,33.4
191412,13.7
191501,18.7
191502,26.0
191503,29.1
191504,43.3
191505,42.0
191506,46.4
191507,53.4
191508,59.5
191509,45.7
191510,43.4
191511,27.6
191512,21.2
191601,2.6
191602,22.7
191603,32.5
191604,36.3
191605,39.6
191606,49.3
191607,60.3
191608,57.1
191609,48.4
191610,34.3
191611,23.4
191612,12.7
191701,13.8
191702,15.7
191703,16.8
191704,30.2
191705,40.6
191706,50.4
191707,63.7
191708,58.0
191709,51.0
191710,37.5
191711,35.2
191712,23.3
191801,16.0
191802,18.4
191803,31.7
191804,32.2
191805,42.0
191806,58.4
191807,58.0
191808,55.5
191809,48.8
191810,42.6
191811,25.5
191812,23.2
191901,25.9
191902,17.5
191903,26.6
191904,38.8
191905,47.0
191906,58.7
191907,63.5
191908,61.5
191909,51.0
191910,28.8
191911,21.0
191912,12.8
192001,22.0
192002,21.3
192003,22.6
192004,29.3
192005,42.3
192006,50.6
192007,61.3
192008,58.9
192009,49.9
192010,37.7
192011,24.0
192012,21.6
192101,22.3
192102,25.8
192103,28.3
192104,34.2
192105,43.9
192106,56.6
192107,61.0
192108,59.6
192109,45.6
192110,43.5
192111,26.5
192112,19.3
192201,11.7
192202,12.1
192203,25.9
192204,33.3
192205,44.1
192206,56.5
192207,58.9
192208,62.8
192209,54.5
192210,43.6
192211,23.7
192212,16.3
192301,23.3
192302,15.8
192303,23.7
192304,34.4
192305,45.0
192306,51.2
192307,62.8
192308,57.6
192309,51.3
192310,34.0
192311,30.6
192312,18.4
192401,16.7
192402,27.1
192403,21.6
192404,34.0
192405,45.6
192406,50.4
192407,58.8
192408,58.7
192409,49.9
192410,40.1
192411,26.6
192412,11.0
192501,22.3
192502,28.8
192503,30.3
192504,38.8
192505,47.8
192506,52.4
192507,62.3
192508,57.1
192509,49.0
192510,31.0
192511,27.6
192512,26.6
192601,21.9
192602,28.7
192603,29.1
192604,39.4
192605,47.4
192606,53.8
192607,61.6
192608,57.6
192609,42.8
192610,41.9
192611,30.4
192612,19.1
192701,18.2
192702,23.0
192703,27.3
192704,33.6
192705,39.8
192706,52.5
192707,59.4
192708,55.1
192709,48.6
192710,42.0
192711,28.7
192712,10.8
192801,21.3
192802,19.8
192803,29.7
192804,32.9
192805,49.9
192806,47.8
192807,59.6
192808,56.1
192809,49.5
192810,37.6
192811,28.5
192812,19.8
192901,9.5
192902,13.2
192903,27.7
192904,32.6
192905,42.5
192906,51.5
192907,60.8
192908,63.2
192909,45.2
192910,41.6
192911,23.4
192912,23.9
193001,3.0
193002,29.3
193003,24.9
193004,44.0
193005,45.4
193006,53.4
193007,61.7
193008,61.7
193009,51.4
193010,36.1
193011,27.6
193012,21.5
193101,25.1
193102,24.5
193103,27.2
193104,37.6
193105,46.4
193106,56.8
193107,62.5
193108,61.1
193109,51.3
193110,40.1
193111,23.5
193112,21.4
193201,14.3
193202,22.1
193203,19.1
193204,36.2
193205,46.2
193206,52.9
193207,60.9
193208,59.0
193209,50.4
193210,35.7
193211,32.1
193212,11.8
193301,21.0
193302,12.4
193303,29.1
193304,33.2
193305,42.0
193306,57.8
193307,64.3
193308,57.5
193309,49.8
193310,42.6
193311,32.0
193312,26.2
193401,28.1
193402,27.9
193403,32.8
193404,41.9
193405,52.3
193406,52.1
193407,62.0
193408,60.3
193409,45.7
193410,44.1
193411,33.6
193412,21.9
193501,20.4
193502,25.0
193503,24.3
193504,30.9
193505,41.2
193506,51.3
193507,61.6
193508,59.1
193509,52.2
193510,38.2
193511,21.9
193512,21.5
193601,17.7
193602,4.9
193603,25.4
193604,35.3
193605,50.7
193606,55.8
193607,66.6
193608,60.1
193609,50.0
193610,39.6
193611,25.2
193612,21.2
193701,-0.2
193702,17.6
193703,23.9
193704,34.2
193705,46.9
193706,51.1
193707,61.5
193708,59.4
193709,51.9
193710,42.7
193711,27.9
193712,20.6
193801,20.7
193802,21.7
193803,27.1
193804,35.1
193805,42.5
193806,53.8
193807,59.5
193808,59.0
193809,56.0
193810,40.0
193811,22.5
193812,24.0
193901,24.2
193902,13.5
193903,28.2
193904,39.5
193905,48.6
193906,49.2
193907,61.6
193908,59.4
193909,51.5
193910,40.3
193911,33.8
193912,29.4
194001,14.0
194002,23.1
194003,31.7
194004,35.9
194005,49.0
194006,55.6
194007,62.1
194008,61.4
194009,53.6
194010,43.7
194011,21.9
194012,24.9
194101,22.5
194102,24.1
194103,29.9
194104,36.0
194105,47.8
194106,52.5
194107,60.5
194108,58.9
194109,44.3
194110,37.5
194111,30.1
194112,21.4
194201,16.5
194202,15.1
194203,25.0
194204,38.9
194205,40.9
194206,47.9
194207,60.4
194208,59.0
194209,49.3
194210,39.8
194211,26.4
194212,23.6
194301,12.5
194302,24.5
194303,19.8
194304,41.9
194305,41.1
194306,49.2
194307,60.0
194308,59.1
194309,51.3
194310,42.8
194311,31.4
194312,22.8
194401,21.0
194402,20.6
194403,22.4
194404,37.1
194405,46.9
194406,48.7
194407,56.9
194408,56.1
194409,49.4
194410,44.0
194411,26.6
194412,18.7
194501,23.5
194502,22.6
194503,28.3
194504,31.1
194505,42.5
194506,47.2
194507,60.1
194508,59.2
194509,47.4
194510,43.0
194511,26.5
194512,19.0
194601,21.0
194602,23.3
194603,31.2
194604,41.0
194605,41.6
194606,52.0
194607,61.2
194608,57.9
194609,48.7
194610,32.4
194611,24.9
194612,24.1
194701,16.8
194702,21.2
194703,25.9
194704,35.2
194705,46.1
194706,47.6
194707,61.6
194708,58.4
194709,49.1
194710,42.9
194711,21.8
194712,20.8
194801,18.4
194802,17.0
194803,20.3
194804,35.8
194805,45.2
194806,52.6
194807,56.9
194808,58.2
194809,51.4
194810,40.6
194811,23.5
194812,13.2
194901,2.8
194902,15.3
194903,24.8
194904,40.3
194905,47.2
194906,51.2
194907,59.1
194908,60.6
194909,49.0
194910,33.5
194911,36.8
194912,19.0
195001,8.7
195002,26.3
195003,23.4
195004,33.3
195005,39.8
195006,49.8
195007,55.8
195008,56.2
195009,47.2
195010,41.9
195011,26.0
195012,26.3
195101,14.9
195102,23.3
195103,19.3
195104,33.9
195105,45.3
195106,45.7
195107,59.4
195108,56.1
195109,46.3
195110,35.0
195111,25.9
195112,14.5
195201,16.9
195202,21.2
195203,21.4
195204,39.4
195205,45.0
195206,52.4
195207,57.0
195208,58.5
195209,52.9
195210,42.7
195211,23.1
195212,22.9
195301,29.6
195302,23.0
195303,29.5
195304,30.6
195305,39.9
195306,50.7
195307,61.8
195308,59.9
195309,52.8
195310,43.4
195311,33.4
195312,22.4
195401,17.5
195402,30.0
195403,20.9
195404,35.7
195405,44.6
195406,48.6
195407,62.4
195408,57.3
195409,50.0
195410,37.2
195411,34.0
195412,21.4
195501,16.7
195502,15.6
195503,18.1
195504,32.8
195505,43.9
195506,50.8
195507,59.4
195508,61.6
195509,49.0
195510,41.9
195511,18.5
195512,18.0
195601,18.5
195602,16.7
195603,26.0
195604,34.2
195605,45.8
195606,55.4
195607,59.9
195608,55.9
195609,51.3
195610,39.7
195611,24.8
195612,22.0
195701,6.5
195702,23.2
195703,26.4
195704,32.8
195705,46.0
195706,51.9
195707,60.1
195708,58.6
195709,49.1
195710,37.0
195711,23.3
195712,26.4
195801,23.6
195802,26.8
195803,23.9
195804,33.8
195805,51.5
195806,51.6
195807,55.8
195808,60.5
195809,49.8
195810,42.4
195811,27.0
195812,23.8
195901,20.6
195902,16.4
195903,27.5
195904,34.3
195905,39.8
195906,54.6
195907,59.6
195908,57.8
195909,47.4
195910,38.0
195911,23.9
195912,24.4
196001,18.0
196002,15.6
196003,26.1
196004,34.8
196005,43.8
196006,53.0
196007,63.1
196008,56.8
196009,50.9
196010,40.0
196011,27.6
196012,22.1
196101,23.6
196102,29.9
196103,30.2
196104,33.2
196105,45.2
196106,58.0
196107,61.5
196108,62.2
196109,42.2
196110,37.3
196111,24.6
196112,17.8
196201,11.4
196202,20.0
196203,24.5
196204,38.9
196205,44.1
196206,52.4
196207,56.8
196208,56.1
196209,48.7
196210,43.3
196211,30.7
196212,25.6
196301,8.4
196302,29.1
196303,28.8
196304,34.1
196305,44.9
196306,51.1
196307,59.0
196308,59.2
196309,54.9
196310,45.1
196311,30.5
196312,19.9
196401,19.7
196402,19.4
196403,20.9
196404,34.3
196405,44.8
196406,50.5
196407,61.8
196408,55.5
196409,47.5
196410,42.7
196411,26.9
196412,19.1
196501,24.5
196502,21.3
196503,15.7
196504,36.4
196505,41.6
196506,50.7
196507,58.6
196508,56.7
196509,39.2
196510,44.4
196511,31.7
196512,23.7
196601,19.8
196602,20.9
196603,28.6
196604,33.2
196605,47.6
196606,50.6
196607,62.8
196608,57.4
196609,53.7
196610,39.5
196611,28.4
196612,21.4
196701,24.2
196702,25.1
196703,24.2
196704,31.6
196705,42.6
196706,50.1
196707,60.3
196708,60.0
196709,54.2
196710,40.5
196711,27.8
196712,14.1
196801,17.3
196802,25.2
196803,31.5
196804,31.8
196805,41.2
196806,50.7
196807,59.4
196808,54.5
196809,48.6
196810,40.3
196811,25.9
196812,16.4
196901,14.1
196902,20.7
196903,22.8
196904,39.7
196905,46.8
196906,49.0
196907,58.8
196908,61.7
196909,52.4
196910,31.9
196911,30.2
196912,23.1
197001,20.1
197002,27.6
197003,23.2
197004,28.2
197005,44.5
197006,54.5
197007,60.9
