Park County, Wyoming, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,14.7,
189502,15.1,
189503,23.3,
189504,40.9,
189505,44.8,
189506,48.7,
189507,57.4,
189508,58.2,
189509,47.6,
189510,40.4,
189511,25,
189512,17.6,
189601,20.4,
189602,26.5,
189603,22.4,
189604,33.3,
189605,40.9,
189606,56,
189607,60.8,
189608,58,
189609,46.3,
189610,39.5,
189611,14.5,
189612,28.4,
189701,17.4,
189702,19.2,
189703,17.4,
189704,36.1,
189705,50.4,
189706,51.4,
189707,56.5,
189708,58.6,
189709,52.4,
189710,38.1,
189711,24.6,
189712,17.1,
189801,12.6,
189802,24.6,
189803,18.5,
189804,37.8,
189805,42.3,
189806,52.6,
189807,58.5,
189808,60.1,
189809,48,
189810,33.6,
189811,21.7,
189812,14.3,
189901,16.7,
189902,6.2,
189903,17.6,
189904,34.1,
189905,41.1,
189906,51.2,
189907,59.8,
189908,55.2,
189909,50.6,
189910,35.9,
189911,31.3,
189912,17.7,
190001,20.9,
190002,15.4,
190003,29.5,
190004,38.1,
190005,48.1,
190006,58.7,
190007,59.1,
190008,57.6,
190009,47.4,
190010,39.3,
190011,24.1,
190012,24,
190101,17.8,
190102,15.5,
190103,26.2,
190104,35.3,
190105,50.8,
190106,48.9,
190107,64.7,
190108,60.9,
190109,45.5,
190110,43,
190111,32.1,
190112,19.3,
190201,15,
190202,23,
190203,25.2,
190204,34.9,
190205,47.4,
190206,52.3,
190207,57.4,
190208,58.2,
190209,48.6,
190210,40.5,
190211,26.8,
190212,19.8,
190301,21,
190302,12.2,
190303,24.7,
190304,34.1,
190305,42.2,
190306,54,
190307,57.5,
190308,58.4,
190309,46,
190310,41.9,
190311,26.9,
190312,22.2,
190401,19,
190402,22.5,
190403,26.8,
190404,38.6,
190405,45.5,
190406,51.8,
190407,58.6,
190408,59.4,
190409,51.4,
190410,42.6,
190411,34.2,
190412,22.9,
190501,20.1,
190502,15.8,
190503,32.1,
190504,36.1,
190505,41.2,
190506,51.3,
190507,60.9,
190508,61.9,
190509,53.2,
190510,35.4,
190511,28.9,
190512,19.1,
190601,20.4,
190602,22.5,
190603,19.7,
190604,38,
190605,43.6,
190606,50.5,
190607,61,
190608,58.6,
190609,52.4,
190610,39.7,
190611,25.4,
190612,25.1,
190701,9.1,
190702,26.2,
190703,29.5,
190704,33.5,
190705,41.1,
190706,49.2,
190707,58.5,
190708,56.7,
190709,48.8,
190710,43.2,
190711,28.4,
190712,20.3,
190801,19.9,
190802,21.9,
190803,25.5,
190804,38.8,
190805,42.4,
190806,49.1,
190807,61,
190808,55.7,
190809,51,
190810,35.9,
190811,27.1,
190812,16.5,
190901,15.3,
190902,19.6,
190903,25.9,
190904,29,
190905,40.4,
190906,53.6,
190907,60.6,
190908,61.2,
190909,50.1,
190910,39.1,
190911,28.8,
190912,7.7,
191001,13.1,
191002,13,
191003,37,
191004,42.4,
191005,45.4,
191006,54.8,
191007,62.4,
191008,56,
191009,49.5,
191010,41.5,
191011,28.6,
191012,21.1,
191101,17.5,
191102,15.1,
191103,31.1,
191104,33.1,
191105,43.6,
191106,55.4,
191107,57.5,
191108,54.8,
191109,48.2,
191110,34.2,
191111,20.5,
191112,15,
191201,17.1,
191202,21.2,
191203,17.6,
191204,34.5,
191205,42.1,
191206,53.3,
191207,56.7,
191208,54.8,
191209,41,
191210,34.9,
191211,30.1,
191212,19.1,
191301,14.6,
191302,10.5,
191303,21.2,
191304,36.9,
191305,44.4,
