Pennington County, South Dakota, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,14.1,
189502,15.2,
189503,29,
189504,48.7,
189505,52.5,
189506,58.7,
189507,68,
189508,68.6,
189509,58.8,
189510,44.4,
189511,27.9,
189512,24,
189601,22.3,
189602,28.1,
189603,24.8,
189604,43.1,
189605,56.3,
189606,65,
189607,69.6,
189608,68.5,
189609,53.2,
189610,43.8,
189611,17.6,
189612,32.7,
189701,17.5,
189702,21.4,
189703,26.2,
189704,43.1,
189705,57.4,
189706,63.6,
189707,70.4,
189708,66.2,
189709,65.4,
189710,48.8,
189711,26.5,
189712,21,
189801,21.1,
189802,28.4,
189803,25.8,
189804,43.7,
189805,51.4,
189806,64.2,
189807,70.1,
189808,70.2,
189809,58.8,
189810,41.7,
189811,26.5,
189812,20.2,
189901,17.3,
189902,4.9,
189903,16.5,
189904,41,
189905,51.2,
189906,60.8,
189907,68.8,
189908,67,
189909,60,
189910,44.5,
189911,38.4,
189912,20.4,
190001,28,
190002,19.4,
190003,32.7,
190004,47.5,
190005,60.2,
190006,69.2,
190007,69.4,
190008,71.9,
190009,58.1,
190010,49.1,
190011,30.5,
190012,28.6,
190101,24.9,
190102,15.5,
190103,30.8,
190104,45.8,
190105,58.8,
190106,60.9,
190107,75.9,
190108,70.4,
190109,55.8,
190110,49.7,
190111,37.2,
190112,23.2,
190201,21.2,
190202,21.7,
190203,31.8,
190204,41.6,
190205,56.3,
190206,60.7,
190207,68,
190208,67.8,
190209,55,
190210,49.4,
190211,33.4,
190212,19.7,
190301,23.8,
190302,14.4,
190303,28.9,
190304,44.1,
190305,51.7,
190306,61.1,
190307,70,
190308,67.1,
190309,52.6,
190310,48.6,
190311,30.6,
190312,26.4,
190401,21.1,
190402,18.9,
190403,31.9,
190404,43.9,
190405,53.9,
190406,60.3,
190407,67.4,
190408,68.3,
190409,58.3,
190410,48.9,
190411,39.7,
190412,24.6,
190501,14.9,
190502,13.8,
190503,37.8,
190504,40.7,
190505,48.7,
190506,59.2,
190507,65.1,
190508,68.3,
190509,60,
190510,40.5,
190511,34,
190512,25.7,
190601,23.6,
190602,24.5,
190603,20.2,
190604,47.2,
190605,51.9,
190606,60.3,
190607,67.6,
190608,66.8,
190609,60.5,
190610,47.1,
190611,31.9,
190612,27.9,
190701,12,
190702,28.8,
190703,37.6,
190704,38.1,
190705,46.5,
190706,60.9,
190707,67.7,
190708,66.7,
190709,55.5,
190710,48.6,
190711,33,
190712,27,
190801,25.6,
190802,24.9,
190803,33.1,
190804,47.3,
190805,50.7,
190806,60.6,
190807,69.3,
190808,65.8,
190809,63.3,
190810,44.2,
190811,34.9,
190812,23.2,
190901,15.6,
190902,22.6,
190903,31.3,
190904,37.9,
190905,51.5,
190906,65,
190907,70.4,
190908,73.2,
190909,60.7,
190910,47.2,
190911,34.2,
190912,11.2,
191001,20.2,
191002,15,
191003,46.6,
191004,50.8,
191005,51.2,
191006,67,
191007,72.4,
191008,66.2,
191009,59.4,
191010,51.6,
191011,32.2,
191012,25.7,
191101,22.5,
191102,23.5,
191103,40.3,
191104,43.3,
191105,56.6,
191106,70.9,
191107,69.2,
191108,64.5,
191109,60.1,
191110,43.1,
191111,25.2,
191112,21.4,
191201,12.2,
191202,23.6,
191203,21.6,
191204,45.4,
191205,54.3,
191206,63.6,
191207,69,
191208,65.8,
191209,51.2,
191210,46.6,
191211,37.3,
191212,27,
191301,17.2,
191302,14.9,
191303,24.5,
191304,47.2,
191305,52.4,
