Teton County, Wyoming, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
189501,10.9,-3.1
189502,12.7,-5.1
189503,19.8,-3.1
189504,35.9,3.5
189505,41.1,-0.6
189506,45.6,-3.7
189507,54,-3
189508,54.9,-0.5
189509,44.1,-2.8
189510,37,0.3
189511,19.6,-3.9
189512,12.5,-2.8
189601,17.6,3.6
189602,21,3.2
189603,19.6,-3.3
189604,29.1,-3.3
189605,36.4,-5.3
189606,51.5,2.2
189607,57.1,0.1
189608,54.5,-0.9
189609,43.9,-3
189610,35.9,-0.8
189611,14.6,-8.9
189612,21.3,6
189701,12.1,-1.9
189702,15.2,-2.6
189703,15.8,-7.1
189704,31.4,-1
189705,48,6.3
189706,48.2,-1.1
189707,55.1,-1.9
189708,56.6,1.2
189709,49.2,2.3
189710,36,-0.7
189711,24.9,1.4
189712,15.3,0
189801,7.6,-6.4
189802,21,3.2
189803,16.9,-6
189804,34.1,1.7
189805,40.6,-1.1
189806,51,1.7
189807,57.5,0.5
189808,58.6,3.2
189809,46.2,-0.7
189810,31.3,-5.4
189811,17.8,-5.7
189812,9.9,-5.4
189901,14.8,0.8
189902,11.8,-6
189903,19.4,-3.5
189904,29.8,-2.6
189905,35.6,-6.1
189906,47.5,-1.8
189907,56.8,-0.2
189908,50.5,-4.9
189909,47.6,0.7
189910,31.4,-5.3
189911,29.2,5.7
189912,13.3,-2
190001,17.8,3.8
190002,15.6,-2.2
190003,27.7,4.8
190004,35.8,3.4
190005,43.9,2.2
190006,54.5,5.2
190007,55.7,-1.3
190008,53.6,-1.8
190009,44.3,-2.6
190010,36.1,-0.6
190011,22.3,-1.2
190012,17.5,2.2
190101,14.6,0.6
190102,14,-3.8
190103,22,-0.9
190104,31.3,-1.1
190105,46.6,4.9
190106,45.9,-3.4
190107,61.3,4.3
190108,58.3,2.9
190109,42.9,-4
190110,40.4,3.7
190111,28.5,5
190112,17,1.7
190201,11.9,-2.1
190202,21.9,4.1
190203,21.1,-1.8
190204,32.4,0
190205,42.4,0.7
190206,49.8,0.5
190207,53.6,-3.4
190208,55.2,-0.2
190209,45.2,-1.7
190210,37,0.3
190211,24.4,0.9
190212,16.6,1.3
190301,15,1
190302,7,-10.8
190303,22.7,-0.2
190304,30.5,-1.9
190305,38.3,-3.4
190306,51.1,1.8
190307,53.6,-3.4
190308,55.6,0.2
190309,43.7,-3.2
190310,38.2,1.5
190311,24.1,0.6
190312,16.7,1.4
190401,11.8,-2.2
190402,19.5,1.7
190403,22.9,0
190404,33.1,0.7
190405,42.4,0.7
190406,48.2,-1.1
190407,55.6,-1.4
190408,56.3,0.9
190409,48.9,2
190410,40,3.3
190411,30.4,6.9
190412,17.9,2.6
190501,18.3,4.3
190502,14.2,-3.6
190503,29.7,6.8
190504,34,1.6
190505,39,-2.7
190506,48.3,-1
190507,57.2,0.2
190508,57.7,2.3
190509,49.2,2.3
190510,32.7,-4
190511,27.2,3.7
190512,12,-3.3
190601,16.8,2.8
190602,19.3,1.5
190603,18.6,-4.3
190604,33.7,1.3
190605,40.9,-0.8
190606,45.7,-3.6
190607,56.3,-0.7
190608,55.6,0.2
190609,48.8,1.9
190610,37.1,0.4
190611,23,-0.5
190612,23.9,8.6
190701,12.9,-1.1
190702,23.9,6.1
190703,26.5,3.6
190704,32,-0.4
190705,40.4,-1.3
190706,45.3,-4
190707,55.1,-1.9
190708,52.6,-2.8
190709,46.1,-0.8
190710,40.1,3.4
190711,25.1,1.6
