Ventura County, California, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,40.3,
189502,44.4,
189503,43.6,
189504,48.2,
189505,55.3,
189506,59.3,
189507,63.4,
189508,63.6,
189509,63.4,
189510,56.6,
189511,51.6,
189512,45.2,
189601,47.1,
189602,49.2,
189603,49.2,
189604,47,
189605,57.7,
189606,64.9,
189607,67.5,
189608,67.3,
189609,62.5,
189610,56.2,
189611,49.4,
189612,47.4,
189701,43.4,
189702,40.6,
189703,41.6,
189704,51.5,
189705,55.1,
189706,62,
189707,66.3,
189708,70,
189709,64.1,
189710,53.2,
189711,50,
189712,44.5,
189801,40,
189802,46.3,
189803,44.4,
189804,52.8,
189805,53.8,
189806,62.2,
189807,66.2,
189808,69.9,
189809,64.8,
189810,57.2,
189811,50.5,
189812,44.6,
189901,46,
189902,42.4,
189903,46.8,
189904,50.8,
189905,52.9,
189906,61.8,
189907,66.7,
189908,65.9,
189909,64.3,
189910,57,
189911,51.4,
189912,46.4,
190001,48.8,
190002,48.6,
190003,51.4,
190004,48.3,
190005,58.1,
190006,64.2,
190007,66.7,
190008,64.2,
190009,59.6,
190010,57.7,
190011,55.7,
190012,48.4,
190101,44.1,
190102,45.8,
190103,49.7,
190104,47.1,
190105,53.5,
190106,61.3,
190107,68,
190108,68.7,
190109,60.1,
190110,57.6,
190111,51.8,
190112,48.6,
190201,45.9,
190202,44.4,
190203,44.7,
190204,49.7,
190205,53.8,
190206,62.8,
190207,67.4,
190208,66.6,
190209,65.3,
190210,54.9,
190211,48.8,
190212,46.2,
190301,48,
190302,41.4,
190303,44.7,
190304,51.9,
190305,55.6,
190306,61.7,
190307,65.8,
190308,68.7,
190309,65.2,
190310,59.5,
190311,55,
190312,48.6,
190401,45.7,
190402,46.7,
190403,47.9,
190404,51,
190405,56.3,
190406,63.4,
190407,66.7,
190408,71.6,
190409,67.9,
190410,59.2,
190411,55.9,
190412,49.6,
190501,50.4,
190502,49.5,
190503,51.2,
190504,51.8,
190505,53.3,
190506,59.6,
190507,66.9,
190508,67.7,
190509,64.9,
190510,59.1,
190511,51.8,
190512,46.8,
190601,47.6,
190602,50.1,
190603,48.9,
190604,49.4,
190605,52.4,
190606,61.9,
190607,70.1,
190608,67.9,
190609,65.2,
190610,61.1,
190611,49.4,
190612,47.3,
190701,42.5,
190702,51.2,
190703,45.5,
190704,50.7,
190705,53.6,
190706,59.6,
190707,67.2,
190708,64.3,
190709,60.9,
190710,57.8,
190711,52.2,
190712,48,
190801,46.9,
190802,43.5,
190803,47.3,
190804,51.7,
190805,51.8,
190806,57.6,
190807,68.3,
190808,66.8,
190809,64,
190810,54.7,
190811,50.4,
190812,44.6,
190901,46.1,
190902,43.6,
190903,43.7,
190904,49.6,
190905,51.6,
190906,59.9,
190907,64.4,
190908,68.1,
190909,62.4,
190910,56.3,
190911,49,
190912,43.4,
191001,41.7,
191002,43.6,
191003,48.8,
191004,53.2,
191005,56.4,
191006,59,
191007,67.2,
191008,65.8,
191009,64.1,
191010,57.5,
191011,49.5,
191012,46.7,
191101,45.4,
191102,40.5,
191103,47.9,
191104,48.1,
191105,52.8,
191106,58.5,
191107,66.7,
191108,65.1,
191109,59.6,
191110,54.8,
191111,50.2,
191112,42.3,
191201,45.8,
191202,46.1,
191203,42.6,
191204,44.9,
191205,53.8,
191206,59.2,
191207,64.1,
191208,63.5,
191209,61.6,
191210,54.2,
191211,51.8,
191212,43.3,
191301,41.1,
191302,42.5,
191303,45.2,
191304,47.7,
