Warren County, Virginia, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
189501,26.4,
189502,22.3,
189503,38.8,
189504,50.8,
189505,60,
189506,71.4,
189507,69,
189508,72.6,
189509,68.8,
189510,47.7,
189511,42.5,
189512,34,
189601,30.5,
189602,33.8,
189603,35,
189604,54.6,
189605,66.1,
189606,68.2,
189607,73.1,
189608,72.2,
189609,64.8,
189610,50.2,
189611,48.4,
189612,33.4,
189701,27.9,
189702,34.1,
189703,44.3,
189704,51.6,
189705,59.4,
189706,68.4,
189707,73.7,
189708,70.3,
189709,64.8,
189710,54.2,
189711,42.8,
189712,34.8,
189801,34.6,
189802,32.1,
189803,47.1,
189804,47.6,
189805,62.6,
189806,70.3,
189807,76.4,
189808,73.6,
189809,66.3,
189810,55.4,
189811,41.3,
189812,32.7,
189901,30.4,
189902,23.8,
189903,40.4,
189904,52.2,
189905,62,
189906,72.2,
189907,74.2,
189908,73,
189909,63.8,
189910,54.4,
189911,42.9,
189912,33.1,
190001,32.1,
190002,30.6,
190003,37.1,
190004,51.7,
190005,62.3,
190006,70,
190007,75.2,
190008,76.3,
190009,71.1,
190010,58.2,
190011,46.2,
190012,32.9,
190101,32.5,
190102,26.1,
190103,42.5,
190104,46.2,
190105,59.6,
190106,67.8,
190107,76.2,
190108,72.1,
190109,63.3,
190110,53,
190111,37.6,
190112,30.6,
190201,28.6,
190202,25.4,
190203,42.6,
190204,49.6,
190205,63.7,
190206,68,
190207,74.1,
190208,69.1,
190209,63.3,
190210,54,
190211,48.3,
190212,31.4,
190301,28.4,
190302,33.3,
190303,47.6,
190304,50.3,
190305,62.6,
190306,64.4,
190307,72.7,
190308,70,
190309,63.6,
190310,54.1,
190311,38.6,
190312,27.6,
190401,23.5,
190402,25.7,
190403,41,
190404,47,
190405,61.8,
190406,68.9,
190407,71.7,
190408,70.2,
190409,66.2,
190410,52.7,
190411,39.7,
190412,28.4,
190501,25.7,
190502,23,
190503,43.1,
190504,52.2,
190505,63.5,
190506,69.7,
190507,73.1,
190508,71.2,
190509,65.7,
190510,53.9,
190511,41.2,
190512,33.1,
190601,36.4,
190602,32.1,
190603,33.7,
190604,53.5,
190605,62.6,
190606,70.8,
190607,72.5,
190608,73.5,
190609,68.5,
190610,52.1,
190611,44.3,
190612,33.1,
190701,33.4,
190702,27.1,
190703,46.4,
190704,46,
190705,57.6,
190706,63.3,
190707,72.1,
190708,69.3,
190709,66.1,
190710,48.6,
190711,40.2,
190712,34.1,
190801,30.3,
190802,26.8,
190803,45.5,
190804,53.8,
190805,62.3,
190806,68.4,
190807,74.4,
190808,69.6,
190809,64.1,
190810,54,
190811,42.4,
190812,33.8,
190901,31.8,
190902,39.6,
190903,39,
190904,52,
190905,61.2,
190906,71.6,
190907,71.1,
190908,69.7,
190909,63.4,
190910,49.4,
190911,47.7,
190912,26.9,
191001,30,
191002,30.3,
191003,48.6,
191004,54.6,
191005,58.5,
191006,66,
191007,73.4,
191008,70.6,
191009,68.1,
191010,57.1,
191011,37.4,
191012,25,
191101,34.1,
191102,35.1,
191103,38.2,
191104,47.6,
191105,66.6,
191106,69.6,
191107,74.2,
191108,72.3,
191109,67.3,
191110,54.2,
191111,39.8,
191112,36.9,
191201,20.9,
191202,26.9,
191203,37.9,
191204,53.1,
191205,62.3,
191206,67.1,
191207,72.7,
191208,69.6,
191209,68.4,
191210,55.8,
191211,43.4,
191212,34.8,
191301,39,
191302,33.8,
191303,45.7,
191304,52.6,
191305,61.4,
