Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ParkName
2018,31810,40325,134951,167156,215255,214443,205493,183840,206254,147996,74155,41879,Arches
2017,21549,38248,128508,155286,188726,193060,192767,177764,187603,138325,72867,44325,Arches
2016,20311,33200,119122,151112,201718,211706,210359,188340,200906,146250,69404,33290,Arches
2015,20699,34255,103649,138903,179804,189073,195748,173186,171711,115859,49087,27273,Arches
2014,17038,22559,89841,122186,165379,170286,169844,173416,165222,115545,46940,26511,Arches
2013,11099,16426,73935,108086,149321,154505,156182,147259,143755,57446,43928,20924,Arches
2012,14961,17870,72273,103800,142876,143482,145696,139036,139801,96310,36170,18302,Arches
2011,10182,12932,61950,96537,142251,155481,147426,138600,136246,92728,30863,15562,Arches
2010,8713,11746,57623,93999,135670,151209,145489,139304,138442,89929,29343,12938,Arches
2009,11684,15488,66898,91114,139332,140161,133854,133880,131913,86601,31714,13673,Arches
2008,9095,13435,66408,83695,133195,124451,121038,129843,124268,80194,29604,13569,Arches
2007,10681,15453,63618,90031,111652,109027,112167,106047,120301,77963,30536,12705,Arches
2006,12841,20728,67550,84244,110564,102061,101297,107176,112335,72615,28087,13551,Arches
2005,9894,16168,62843,71709,111718,110517,106555,103403,88218,63626,23813,13206,Arches
2004,11571,11378,58919,79069,113248,94638,93569,83585,95276,58743,21208,11927,Arches
2003,13326,13760,50242,70795,106873,101997,95296,99352,99639,72875,21343,12283,Arches
2002,9951,18163,57348,76544,109130,101051,96566,97631,98581,67373,23134,14200,Arches
2001,10566,12868,55082,73213,112865,99452,100281,97985,94814,60747,26363,9790,Arches
2000,11505,14435,52392,77012,107856,106198,110434,104487,104706,65675,19787,11942,Arches
1999,11967,15378,62198,69196,120213,118326,118042,124130,119657,71604,25888,13381,Arches
1998,10450,12337,52467,75236,119525,116384,113040,120361,116137,68808,21875,10541,Arches
1997,9422,13493,64176,70201,115568,114213,122626,131104,119450,66854,19933,11485,Arches
1996,8183,14300,58978,79685,116552,111616,119378,128102,121734,63804,19972,13712,Arches
1995,11055,15813,52952,76855,111925,116972,136258,127740,120634,66136,18025,5009,Arches
1994,9904,12348,53504,74096,103871,98464,109497,115008,110027,61676,16776,12007,Arches
1993,6036,8599,43551,74542,103852,102396,116886,118500,111614,60523,18951,8228,Arches
1992,8016,12779,50228,82025,104639,109882,119021,124840,104561,58839,18150,6851,Arches
1991,6307,11453,45466,60081,93762,104120,103591,116516,90407,51260,14808,8111,Arches
1990,6440,8444,42372,71479,84912,90154,84017,97265,72310,40923,15192,7211,Arches
1989,4687,5683,41135,51807,75599,80321,78010,88731,69361,37592,15113,7770,Arches
1988,4145,6674,31382,45863,68712,79183,77160,80219,75694,34808,11253,5362,Arches
1987,6015,6957,22167,43965,63510,69019,71987,80492,60969,28961,9904,4970,Arches
1986,7070,6762,33700,36042,53931,62158,63528,68397,49456,23414,8425,6561,Arches
1985,4727,4944,18033,36032,50174,56588,54484,61538,44554,21037,6217,5136,Arches
1984,4021,4601,16732,30806,44454,58744,55728,57412,42668,18121,7059,4834,Arches
1983,4672,6993,14734,20073,34040,38975,50659,50320,36578,20107,7384,3340,Arches
1982,5531,6897,19703,29711,43011,55267,53035,52025,36934,18992,10845,7464,Arches
1981,7144,6275,17024,30543,41614,51670,48711,52953,35795,20656,10157,3966,Arches
1980,3599,4687,15915,27050,39099,47171,43685,47837,31387,16983,7481,5625,Arches
1979,2970,3135,14659,31818,39266,43503,36524,43309,30813,15273,5492,3078,Arches
2018,10610,9456,16616,21343,84527,208645,263863,217350,116826,33527,16442,9737,Badlands
2017,10380,11149,21498,23166,85967,213966,263506,237125,127598,33426,16807,9737,Badlands
2016,10826,10921,20501,22812,78863,196209,249194,217071,129350,33380,17970,9166,Badlands
2015,10414,10942,21924,27193,68239,191593,245400,231866,117724,34498,16771,12790,Badlands
2014,9548,8671,15898,25054,63131,168011,210370,208807,96882,36929,13973,10820,Badlands
2013,11882,11033,18258,20750,65043,177507,225096,208579,104029,25530,16663,8002,Badlands
2012,9660,10908,22784,31658,72568,162676,209064,189830,103606,40449,17791,12412,Badlands
2011,6646,6818,16375,20652,58637,169056,217178,188638,116187,40910,17133,12511,Badlands
2010,6696,6722,7752,23423,71909,192904,238189,230914,130822,46929,13368,8150,Badlands
2009,7332,7639,11875,25911,69831,189139,249779,215299,105471,32610,12886,6146,Badlands
2008,7836,7351,13937,19620,62637,169249,216713,201226,94323,36505,9329,7008,Badlands
2007,14820,7448,15319,24350,68211,177612,217962,201031,95505,42105,14174,8117,Badlands
2006,9365,8129,12192,21437,62224,165119,203452,198003,91615,39023,20369,9190,Badlands
2005,11686,11158,17670,25338,62729,175943,230425,222918,89849,40128,13176,8126,Badlands
2004,10032,7214,17981,29627,61399,165208,227954,241351,98625,43979,18598,14062,Badlands
2003,5011,3674,8100,13483,49165,154035,229203,236385,109614,35712,15818,10834,Badlands
2002,9372,9139,8198,22400,56138,195007,223994,219701,100651,39023,19121,6154,Badlands
2001,9007,5016,8837,18906,60758,192749,237981,254819,105127,41749,14309,6211,Badlands
2000,7680,7216,12379,19597,56457,241202,264707,319967,113551,44591,11928,6549,Badlands
1999,5410,7581,10258,19891,64000,203379,222487,254142,99008,42865,14217,7215,Badlands
1998,6490,5369,6629,19097,72123,214871,243051,253556,125014,57885,11298,5666,Badlands
1997,9197,5400,8952,21386,65723,185921,256102,248190,110533,43189,11219,4884,Badlands
1996,6276,9133,9457,14865,54339,168458,269852,298697,124891,53291,11090,4356,Badlands
1995,9689,11367,17711,24072,64642,185944,283530,288225,122438,43214,16971,7766,Badlands
1994,8995,8662,19434,21843,76263,185125,289085,341930,111980,36357,19076,11709,Badlands
1993,9886,9566,17086,26717,70690,192956,311931,351234,120981,40869,15791,11751,Badlands
1992,8513,8148,19494,27163,78904,214252,271982,349509,142107,60738,14227,10260,Badlands
1991,16997,18277,26613,96014,115677,255869,363803,333715,180250,70108,22154,18919,Badlands
1990,17072,16510,25857,38693,95403,241925,337849,304124,135424,66670,26415,20533,Badlands
1989,15639,15150,23466,32748,89411,229324,305833,284663,140774,60704,23860,16384,Badlands
1988,13580,15719,20982,35432,97143,212076,281371,209496,126459,54669,27792,15321,Badlands
1987,14852,15034,16654,33749,90443,205798,282231,294355,127609,52398,24631,16644,Badlands
1986,13173,12457,18332,28062,81991,168772,262462,249847,115800,41512,17110,16112,Badlands
1985,13252,18072,16644,33185,77782,188172,199978,222573,104192,50506,13811,12075,Badlands
1984,13148,15927,16203,24789,75496,202728,298925,238997,139742,51005,22026,14689,Badlands
1983,13843,17445,18776,25203,65184,186972,268962,223451,122929,48777,22014,13425,Badlands
1982,12264,15202,17899,26518,69073,188644,270076,242958,110020,45298,19208,13324,Badlands
1981,16460,15772,20524,34168,73357,192909,299383,254029,182838,52592,20636,13284,Badlands
1980,18025,15890,18203,26416,64454,167212,240671,216200,99345,46812,23410,16014,Badlands
1979,16992,15887,19375,26056,54710,138423,208498,194501,91880,52486,21169,18023,Badlands
2018,15986,24878,30668,37565,33616,39141,49533,39684,31267,26844,21703,15365,Channel Islands
2017,18887,20325,32263,33888,37528,44852,56194,40750,33063,25495,23696,16746,Channel Islands
