ParkName,Month,Entrance_Fee,Camp_Day,Hotel_Day,Car_Trip,Fly_Trip,Addnl_Fly_Fee,Addnl_Boat_Fee
Arches,Jan,30,25,87,182.41,223,3.12,0
Arches,Feb,30,25,87,182.41,223,3.12,0
Arches,Mar,30,25,87,182.41,273,3.12,0
Arches,Apr,30,25,87,182.41,273,3.12,0
Arches,May,30,25,87,182.41,248,3.12,0
Arches,Jun,30,25,87,182.41,273,3.12,0
Arches,Jul,30,25,87,182.41,298,3.12,0
Arches,Aug,30,25,87,182.41,223,3.12,0
Arches,Sep,30,25,87,182.41,223,3.12,0
Arches,Oct,30,25,87,182.41,248,3.12,0
Arches,Nov,30,25,87,182.41,223,3.12,0
Arches,Dec,30,25,87,182.41,223,3.12,0
Badlands,Jan,25,22,129.67,318.28,412,12.03,0
Badlands,Feb,25,22,129.67,318.28,412,12.03,0
Badlands,Mar,25,22,129.67,318.28,428,12.03,0
Badlands,Apr,25,22,129.67,318.28,393,12.03,0
Badlands,May,25,22,129.67,318.28,412,12.03,0
Badlands,Jun,25,22,129.67,318.28,370,12.03,0
Badlands,Jul,25,22,129.67,318.28,300,12.03,0
Badlands,Aug,25,22,129.67,318.28,300,12.03,0
Badlands,Sep,25,22,129.67,318.28,412,12.03,0
Badlands,Oct,25,22,129.67,318.28,412,12.03,0
Badlands,Nov,25,22,129.67,318.28,412,12.03,0
Badlands,Dec,25,22,129.67,318.28,412,12.03,0
Channel Islands,Jan,0,15,NA,10.25,NA,0,209.5
Channel Islands,Feb,0,15,NA,10.25,NA,0,209.5
Channel Islands,Mar,0,15,NA,10.25,NA,0,209.5
Channel Islands,Apr,0,15,NA,10.25,NA,0,209.5
Channel Islands,May,0,15,NA,10.25,NA,0,209.5
Channel Islands,Jun,0,15,NA,10.25,NA,0,209.5
Channel Islands,Jul,0,15,NA,10.25,NA,0,209.5
Channel Islands,Aug,0,15,NA,10.25,NA,0,209.5
Channel Islands,Sep,0,15,NA,10.25,NA,0,209.5
Channel Islands,Oct,0,15,NA,10.25,NA,0,209.5
Channel Islands,Nov,0,15,NA,10.25,NA,0,209.5
Channel Islands,Dec,0,15,NA,10.25,NA,0,209.5
Glacier,Jan,35,0,69,319.84,216,5.57,0
Glacier,Feb,35,0,69,319.84,216,5.57,0
Glacier,Mar,35,0,69,319.84,285,5.57,0
Glacier,Apr,35,0,69,319.84,224,5.57,0
Glacier,May,35,0,69,319.84,224,5.57,0
Glacier,Jun,35,0,69,319.84,194,5.57,0
Glacier,Jul,35,0,69,319.84,207,5.57,0
Glacier,Aug,35,0,69,319.84,207,5.57,0
Glacier,Sep,35,0,69,319.84,224,5.57,0
Glacier,Oct,35,0,69,319.84,224,5.57,0
Glacier,Nov,35,0,69,319.84,224,5.57,0
Glacier,Dec,35,0,69,319.84,224,5.57,0
Grand Teton,Jan,35,5,106.33,232.53,317,0.89,0
Grand Teton,Feb,35,5,106.33,232.53,317,0.89,0
Grand Teton,Mar,35,5,106.33,232.53,294,0.89,0
Grand Teton,Apr,35,5,106.33,232.53,294,0.89,0
Grand Teton,May,35,31.7,106.33,232.53,277,0.89,0
Grand Teton,Jun,35,31.42,106.33,232.53,317,0.89,0
Grand Teton,Jul,35,31.42,106.33,232.53,317,0.89,0
Grand Teton,Aug,35,31.42,106.33,232.53,302,0.89,0
Grand Teton,Sep,35,31.42,106.33,232.53,302,0.89,0
Grand Teton,Oct,35,30.5,106.33,232.53,317,0.89,0
Grand Teton,Nov,35,NA,106.33,232.53,322,0.89,0
Grand Teton,Dec,35,5,106.33,232.53,317,0.89,0
Redwood,Jan,0,0,101.33,142.1,281,5.79,0
Redwood,Feb,0,0,101.33,142.1,281,5.79,0
Redwood,Mar,0,0,101.33,142.1,286,5.79,0
Redwood,Apr,0,0,101.33,142.1,281,5.79,0
Redwood,May,0,0,101.33,142.1,281,5.79,0
Redwood,Jun,0,0,101.33,142.1,281,5.79,0
Redwood,Jul,0,0,101.33,142.1,281,5.79,0
Redwood,Aug,0,0,101.33,142.1,281,5.79,0
Redwood,Sep,0,0,101.33,142.1,281,5.79,0
Redwood,Oct,0,0,101.33,142.1,281,5.79,0
Redwood,Nov,0,0,101.33,142.1,281,5.79,0
Redwood,Dec,0,0,101.33,142.1,281,5.79,0
Shenandoah,Jan,30,NA,67.33,599.58,287,12.47,0
Shenandoah,Feb,30,NA,67.33,599.58,287,12.47,0
Shenandoah,Mar,30,17.5,67.33,599.58,287,12.47,0
Shenandoah,Apr,30,17.5,67.33,599.58,258,12.47,0
Shenandoah,May,30,16.25,67.33,599.58,217,12.47,0
Shenandoah,Jun,30,16.25,67.33,599.58,266,12.47,0
Shenandoah,Jul,30,16.25,67.33,599.58,272,12.47,0
Shenandoah,Aug,30,16.25,67.33,599.58,267,12.47,0
Shenandoah,Sep,30,16.25,67.33,599.58,267,12.47,0
Shenandoah,Oct,30,16.25,67.33,599.58,287,12.47,0
Shenandoah,Nov,30,20,67.33,599.58,287,12.47,0
Shenandoah,Dec,30,NA,67.33,599.58,287,12.47,0
Yellowstone,Jan,35,20,68,249.23,317,15.81,0
Yellowstone,Feb,35,20,68,249.23,317,15.81,0
Yellowstone,Mar,35,20,68,249.23,294,15.81,0
Yellowstone,Apr,35,23,68,249.23,294,15.81,0
Yellowstone,May,35,23,68,249.23,277,15.81,0
Yellowstone,Jun,35,20.81,68,249.23,317,15.81,0
Yellowstone,Jul,35,20.81,68,249.23,317,15.81,0
Yellowstone,Aug,35,20.81,68,249.23,302,15.81,0
Yellowstone,Sep,35,20.81,68,249.23,302,15.81,0
Yellowstone,Oct,35,20.33,68,249.23,317,15.81,0
Yellowstone,Nov,35,17.5,68,249.23,322,15.81,0
Yellowstone,Dec,35,20,68,249.23,317,15.81,0
Yosemite,Jan,35,21.33,80.67,80.85,192,29.17,0
Yosemite,Feb,35,21.33,80.67,80.85,192,29.17,0
Yosemite,Mar,35,22.5,80.67,80.85,267,29.17,0
Yosemite,Apr,35,23.67,80.67,80.85,192,29.17,0
Yosemite,May,35,22.5,80.67,80.85,192,29.17,0
Yosemite,Jun,35,22.4,80.67,80.85,192,29.17,0
Yosemite,Jul,35,20.46,80.67,80.85,192,29.17,0
Yosemite,Aug,35,20.46,80.67,80.85,192,29.17,0
Yosemite,Sep,35,20.46,80.67,80.85,192,29.17,0
Yosemite,Oct,35,20.4,80.67,80.85,192,29.17,0
Yosemite,Nov,35,21.33,80.67,80.85,192,29.17,0
Yosemite,Dec,35,21.33,80.67,80.85,192,29.17,0
Zion,Jan,35,30,72.33,117.15,212,10.02,0
Zion,Feb,35,25,72.33,117.15,212,10.02,0
Zion,Mar,35,25,72.33,117.15,212,10.02,0
Zion,Apr,35,25,72.33,117.15,212,10.02,0
Zion,May,35,16.67,72.33,117.15,212,10.02,0
Zion,Jun,35,16.67,72.33,117.15,212,10.02,0
Zion,Jul,35,16.67,72.33,117.15,212,10.02,0
Zion,Aug,35,16.67,72.33,117.15,212,10.02,0
Zion,Sep,35,16.67,72.33,117.15,212,10.02,0
Zion,Oct,35,25,72.33,117.15,212,10.02,0
Zion,Nov,35,25,72.33,117.15,212,10.02,0
Zion,Dec,35,30,72.33,117.15,212,10.02,0
