Year,RecreationVisitors
1929,500
1930,400
1931,405
1932,480
1933,425
1934,275
1935,300
1936,400
1937,"1,000"
1938,"1,448"
1939,"1,775"
1940,"2,512"
1941,"3,737"
1942,"1,205"
1943,776
1944,642
1945,682
1946,"2,301"
1947,"5,028"
1948,"8,870"
1949,"13,270"
1950,"16,257"
1951,"18,603"
1952,"28,683"
1953,"30,853"
1954,"31,300"
1955,"31,800"
1956,"28,500"
1957,"25,400"
1958,"40,100"
1959,"59,800"
1960,"71,600"
1961,"90,700"
1962,"105,700"
1963,"118,200"
1964,"99,700"
1965,"143,900"
1966,"128,000"
1967,"120,300"
1968,"135,600"
1969,"162,600"
1970,"178,500"
1971,"202,100"
1972,"225,128"
1973,"274,900"
1974,"166,900"
1975,"236,100"
1976,"294,800"
1977,"313,400"
1978,"326,948"
1979,"269,840"
1980,"290,519"
1981,"326,508"
1982,"339,415"
1983,"287,875"
1984,"345,180"
1985,"363,464"
1986,"419,444"
1987,"468,916"
1988,"520,455"
1989,"555,809"
1990,"620,719"
1991,"705,882"
1992,"799,831"
1993,"773,678"
1994,"777,178"
1995,"859,374"
1996,"856,016"
1997,"858,525"
1998,"837,161"
1999,"869,980"
2000,"786,429"
2001,"754,026"
2002,"769,672"
2003,"757,781"
2004,"733,131"
2005,"781,670"
2006,"833,049"
2007,"860,181"
2008,"928,795"
2009,"996,312"
2010,"1,014,405"
2011,"1,040,758"
2012,"1,070,577"
2013,"1,082,866"
2014,"1,284,767"
2015,"1,399,247"
2016,"1,585,718"
2017,"1,539,028"
