Year,RecreationVisitors
1929,"51,500"
1930,"60,000"
1931,"62,000"
1932,"40,000"
1933,"42,500"
1934,"75,000"
1935,"100,000"
1936,"125,000"
1937,"135,000"
1938,"153,353"
1939,"87,133"
1940,"103,324"
1941,"125,489"
1942,"33,808"
1943,"8,203"
1944,"19,978"
1945,"41,349"
1946,"136,441"
1947,"142,975"
1948,"153,054"
1949,"166,506"
1950,"189,286"
1951,"637,785"
1952,"785,343"
1953,"942,966"
1954,"1,003,500"
1955,"1,104,700"
1956,"1,197,200"
1957,"1,306,300"
1958,"1,428,500"
1959,"1,529,600"
1960,"1,429,900"
1961,"1,492,400"
1962,"1,799,400"
1963,"2,158,800"
1964,"2,456,800"
1965,"2,507,000"
1966,"2,673,100"
1967,"2,643,700"
1968,"2,970,300"
1969,"3,134,400"
1970,"3,352,500"
1971,"2,556,400"
1972,"2,490,266"
1973,"2,228,600"
1974,"2,392,900"
1975,"2,173,500"
1976,"2,834,700"
1977,"3,258,000"
1978,"3,160,026"
1979,"2,446,171"
1980,"2,555,627"
1981,"2,643,644"
1982,"2,534,029"
1983,"1,532,035"
1984,"1,360,898"
1985,"1,334,483"
1986,"1,306,322"
1987,"1,450,791"
1988,"1,232,691"
1989,"1,331,659"
1990,"1,588,253"
1991,"1,625,752"
1992,"1,744,636"
1993,"2,568,689"
1994,"2,540,699"
1995,"2,731,015"
1996,"2,733,439"
1997,"2,658,762"
1998,"2,757,060"
1999,"2,680,025"
2000,"2,590,624"
2001,"2,535,108"
2002,"2,612,629"
2003,"2,355,693"
2004,"2,360,373"
2005,"2,463,442"
2006,"2,406,476"
2007,"2,588,574"
2008,"2,485,987"
2009,"2,580,081"
2010,"2,669,374"
2011,"2,587,437"
2012,"2,705,256"
2013,"2,688,794"
2014,"2,791,392"
2015,"3,149,921"
2016,"3,270,076"
2017,"3,317,000"
