Year,RecreationVisitors
1971,"34,500"
1972,"104,304"
1973,"210,500"
1974,"297,400"
1975,"368,200"
1976,"421,700"
1977,"477,900"
1978,"448,012"
1979,"413,917"
1980,"471,710"
1981,"549,461"
1982,"467,126"
1983,"473,711"
1984,"467,155"
1985,"505,791"
1986,"567,849"
1987,"610,897"
1988,"677,135"
1989,"654,115"
1990,"348,458"
1991,"366,280"
1992,"387,781"
1993,"421,027"
1994,"475,033"
1995,"552,464"
1996,"426,938"
1997,"382,488"
1998,"383,188"
1999,"369,726"
2000,"383,253"
2001,"388,352"
2002,"404,789"
2003,"408,126"
2004,"392,029"
2005,"394,144"
2006,"383,780"
2007,"385,171"
2008,"396,899"
2009,"444,426"
2010,"418,820"
2011,"380,167"
2012,"352,517"
2013,"393,364"
2014,"429,166"
2015,"527,143"
2016,"536,297"
2017,"445,000"
