Year,RecreationVisitors
1936,"694,098"
1937,"1,041,204"
1938,"954,967"
1939,"911,612"
1940,"950,807"
1941,"1,071,199"
1942,"138,098"
1943,"41,831"
1944,"137,831"
1945,"542,718"
1946,"709,789"
1947,"858,630"
1948,"932,068"
1949,"1,157,946"
1950,"1,279,387"
1951,"1,412,499"
1952,"1,494,647"
1953,"1,673,346"
1954,"1,659,600"
1955,"1,543,400"
1956,"1,623,500"
1957,"1,655,500"
1958,"1,655,300"
1959,"1,786,700"
1960,"1,780,100"
1961,"1,929,300"
1962,"2,049,400"
1963,"2,237,800"
1964,"2,276,200"
1965,"2,289,400"
1966,"2,349,100"
1967,"2,133,100"
1968,"2,273,200"
1969,"2,400,900"
1970,"2,411,500"
1971,"2,140,600"
1972,"2,038,224"
1973,"2,308,400"
1974,"1,949,400"
1975,"2,420,600"
1976,"2,448,600"
1977,"2,789,100"
1978,"2,002,205"
1979,"1,521,451"
1980,"1,699,228"
1981,"1,819,546"
1982,"1,751,972"
1983,"1,768,378"
1984,"1,869,307"
1985,"1,933,085"
1986,"1,843,985"
1987,"1,767,727"
1988,"1,937,155"
1989,"1,873,817"
1990,"1,771,780"
1991,"1,939,486"
1992,"1,822,193"
1993,"1,951,366"
1994,"1,926,883"
1995,"1,757,794"
1996,"1,571,019"
1997,"1,587,790"
1998,"1,473,100"
1999,"1,339,286"
2000,"1,419,579"
2001,"1,498,561"
2002,"1,389,244"
2003,"1,163,950"
2004,"1,261,000"
2005,"1,094,912"
2006,"1,076,150"
2007,"1,107,227"
2008,"1,075,878"
2009,"1,120,981"
2010,"1,253,386"
2011,"1,209,883"
2012,"1,210,200"
2013,"1,136,505"
2014,"1,255,321"
2015,"1,321,873"
2016,"1,437,341"
2017,"1,458,874"
