Year,RecreationVisitors
1919,"1,814"
1920,"3,692"
1921,"2,937"
1922,"4,109"
1923,"6,408"
1924,"8,400"
1925,"16,817"
1926,"21,964"
1927,"24,303"
1928,"30,016"
1929,"33,383"
1930,"55,297"
1931,"59,186"
1932,"51,650"
1933,"48,763"
1934,"68,801"
1935,"97,280"
1936,"124,393"
1937,"137,404"
1938,"149,075"
1939,"158,063"
1940,"165,029"
1941,"192,805"
1942,"68,797"
1943,"44,089"
1944,"42,243"
1945,"78,280"
1946,"212,280"
1947,"273,953"
1948,"297,571"
1949,"307,881"
1950,"323,402"
1951,"331,079"
1952,"352,921"
1953,"389,445"
1954,"416,800"
1955,"406,800"
1956,"421,200"
1957,"525,100"
1958,"590,700"
1959,"585,000"
1960,"575,800"
1961,"604,700"
1962,"622,100"
1963,"681,100"
1964,"705,200"
1965,"763,600"
1966,"815,200"
1967,"788,400"
1968,"877,100"
1969,"904,300"
1970,"903,600"
1971,"897,000"
1972,"889,417"
1973,"993,800"
1974,"859,300"
1975,"1,055,200"
1976,"1,090,000"
1977,"1,105,900"
1978,"1,193,212"
1979,"1,040,528"
1980,"1,123,846"
1981,"1,288,808"
1982,"1,246,290"
1983,"1,273,030"
1984,"1,377,254"
1985,"1,503,272"
1986,"1,670,503"
1987,"1,777,619"
1988,"1,948,332"
1989,"1,998,856"
1990,"2,102,400"
1991,"2,236,997"
1992,"2,390,626"
1993,"2,392,580"
1994,"2,270,871"
1995,"2,430,162"
1996,"2,498,001"
1997,"2,445,534"
1998,"2,370,048"
1999,"2,449,664"
2000,"2,432,348"
2001,"2,217,779"
2002,"2,592,545"
2003,"2,458,792"
2004,"2,677,342"
2005,"2,586,665"
2006,"2,567,350"
2007,"2,657,281"
2008,"2,690,154"
2009,"2,735,402"
2010,"2,665,972"
2011,"2,825,505"
2012,"2,973,607"
2013,"2,807,387"
2014,"3,189,696"
2015,"3,648,846"
2016,"4,295,127"
2017,"4,504,812"
