Year,RecreationVisitors,ParkName,Visitors_Mil
1929,500,Arches,5e-4
1930,400,Arches,4e-4
1931,405,Arches,4.05e-4
1932,480,Arches,4.8e-4
1933,425,Arches,4.25e-4
1934,275,Arches,2.75e-4
1935,300,Arches,3e-4
1936,400,Arches,4e-4
1937,1000,Arches,0.001
1938,1448,Arches,0.001448
1939,1775,Arches,0.001775
1940,2512,Arches,0.002512
1941,3737,Arches,0.003737
1942,1205,Arches,0.001205
1943,776,Arches,7.76e-4
1944,642,Arches,6.42e-4
1945,682,Arches,6.82e-4
1946,2301,Arches,0.002301
1947,5028,Arches,0.005028
1948,8870,Arches,0.00887
1949,13270,Arches,0.01327
1950,16257,Arches,0.016257
1951,18603,Arches,0.018603
1952,28683,Arches,0.028683
1953,30853,Arches,0.030853
1954,31300,Arches,0.0313
1955,31800,Arches,0.0318
1956,28500,Arches,0.0285
1957,25400,Arches,0.0254
1958,40100,Arches,0.0401
1959,59800,Arches,0.0598
1960,71600,Arches,0.0716
1961,90700,Arches,0.0907
1962,105700,Arches,0.1057
1963,118200,Arches,0.1182
1964,99700,Arches,0.0997
1965,143900,Arches,0.1439
1966,128000,Arches,0.128
1967,120300,Arches,0.1203
1968,135600,Arches,0.1356
1969,162600,Arches,0.1626
1970,178500,Arches,0.1785
1971,202100,Arches,0.2021
1972,225128,Arches,0.225128
1973,274900,Arches,0.2749
1974,166900,Arches,0.1669
1975,236100,Arches,0.2361
1976,294800,Arches,0.2948
1977,313400,Arches,0.3134
1978,326948,Arches,0.326948
1979,269840,Arches,0.26984
1980,290519,Arches,0.290519
1981,326508,Arches,0.326508
1982,339415,Arches,0.339415
1983,287875,Arches,0.287875
1984,345180,Arches,0.34518
1985,363464,Arches,0.363464
1986,419444,Arches,0.419444
1987,468916,Arches,0.468916
1988,520455,Arches,0.520455
1989,555809,Arches,0.555809
1990,620719,Arches,0.620719
1991,705882,Arches,0.705882
1992,799831,Arches,0.799831
1993,773678,Arches,0.773678
1994,777178,Arches,0.777178
1995,859374,Arches,0.859374
1996,856016,Arches,0.856016
1997,858525,Arches,0.858525
1998,837161,Arches,0.837161
1999,869980,Arches,0.86998
2000,786429,Arches,0.786429
2001,754026,Arches,0.754026
2002,769672,Arches,0.769672
2003,757781,Arches,0.757781
2004,733131,Arches,0.733131
2005,781670,Arches,0.78167
2006,833049,Arches,0.833049
2007,860181,Arches,0.860181
2008,928795,Arches,0.928795
2009,996312,Arches,0.996312
2010,1014405,Arches,1.014405
2011,1040758,Arches,1.040758
2012,1070577,Arches,1.070577
2013,1082866,Arches,1.082866
2014,1284767,Arches,1.284767
2015,1399247,Arches,1.399247
2016,1585718,Arches,1.585718
2017,1539028,Arches,1.539028
1939,205100,Badlands,0.2051
1940,181993,Badlands,0.181993
1941,252248,Badlands,0.25224800000000003
1942,86256,Badlands,0.086256
1943,10149,Badlands,0.010149
1944,10349,Badlands,0.010349
1945,31377,Badlands,0.031377
