Title,Bookmark
Glacier NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1911,"4,000","108,335,071"
1912,"6,257","108,335,071"
1913,"12,138","108,335,071"
1914,"14,168","108,335,071"
1915,"14,265","108,335,071"
1916,"12,839","108,335,071"
1917,"18,387","108,335,071"
1918,"9,086","108,335,071"
1919,"18,956","108,335,071"
1920,"22,449","108,335,071"
1921,"19,736","108,335,071"
1922,"23,935","108,335,071"
1923,"33,988","108,335,071"
1924,"33,372","108,335,071"
1925,"40,063","108,335,071"
1926,"37,325","108,335,071"
1927,"41,745","108,335,071"
1928,"53,454","108,335,071"
1929,"70,742","108,335,071"
1930,"73,776","108,335,071"
1931,"63,497","108,335,071"
1932,"53,202","108,335,071"
1933,"76,715","108,335,071"
1934,"116,965","108,335,071"
1935,"143,240","108,335,071"
1936,"210,072","108,335,071"
1937,"194,522","108,335,071"
1938,"153,528","108,335,071"
1939,"170,073","108,335,071"
1940,"177,307","108,335,071"
1941,"178,449","108,335,071"
1942,"62,196","108,335,071"
1943,"23,908","108,335,071"
1944,"35,857","108,335,071"
1945,"67,942","108,335,071"
1946,"200,547","108,335,071"
1947,"327,300","108,335,071"
1948,"284,549","108,335,071"
1949,"482,208","108,335,071"
1950,"482,298","108,335,071"
1951,"496,142","108,335,071"
1952,"649,689","108,335,071"
1953,"633,480","108,335,071"
1954,"608,200","108,335,071"
1955,"674,100","108,335,071"
1956,"718,900","108,335,071"
1957,"759,200","108,335,071"
1958,"706,800","108,335,071"
1959,"722,300","108,335,071"
1960,"724,500","108,335,071"
1961,"740,000","108,335,071"
1962,"966,100","108,335,071"
1963,"810,200","108,335,071"
1964,"642,200","108,335,071"
1965,"847,100","108,335,071"
1966,"907,800","108,335,071"
1967,"884,000","108,335,071"
1968,"964,500","108,335,071"
1969,"1,051,200","108,335,071"
1970,"1,241,600","108,335,071"
1971,"1,302,200","108,335,071"
1972,"1,391,299","108,335,071"
1973,"1,397,800","108,335,071"
1974,"1,405,500","108,335,071"
1975,"1,570,000","108,335,071"
1976,"1,661,200","108,335,071"
1977,"1,654,500","108,335,071"
1978,"1,582,632","108,335,071"
1979,"1,446,086","108,335,071"
1980,"1,474,578","108,335,071"
1981,"1,786,523","108,335,071"
1982,"1,666,114","108,335,071"
1983,"2,203,847","108,335,071"
1984,"1,946,703","108,335,071"
1985,"1,603,011","108,335,071"
1986,"1,579,151","108,335,071"
1987,"1,660,737","108,335,071"
1988,"1,817,733","108,335,071"
1989,"1,821,523","108,335,071"
1990,"1,986,737","108,335,071"
1991,"2,096,966","108,335,071"
1992,"2,199,767","108,335,071"
1993,"2,141,704","108,335,071"
1994,"2,152,989","108,335,071"
1995,"1,839,518","108,335,071"
1996,"1,720,805","108,335,071"
1997,"1,708,856","108,335,071"
1998,"1,830,944","108,335,071"
1999,"1,684,604","108,335,071"
2000,"1,728,693","108,335,071"
2001,"1,680,614","108,335,071"
2002,"1,905,689","108,335,071"
2003,"1,664,046","108,335,071"
2004,"2,033,933","108,335,071"
2005,"1,925,101","108,335,071"
2006,"1,964,399","108,335,071"
2007,"2,083,329","108,335,071"
2008,"1,808,027","108,335,071"
2009,"2,031,348","108,335,071"
2010,"2,200,048","108,335,071"
2011,"1,853,564","108,335,071"
2012,"2,162,035","108,335,071"
2013,"2,190,374","108,335,071"
2014,"2,338,528","108,335,071"
2015,"2,366,056","108,335,071"
2016,"2,946,681","108,335,071"
2017,"3,305,512","108,335,071"

