Title,Bookmark
Grand Teton NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1929,"51,500","151,215,402"
1930,"60,000","151,215,402"
1931,"62,000","151,215,402"
1932,"40,000","151,215,402"
1933,"42,500","151,215,402"
1934,"75,000","151,215,402"
1935,"100,000","151,215,402"
1936,"125,000","151,215,402"
1937,"135,000","151,215,402"
1938,"153,353","151,215,402"
1939,"87,133","151,215,402"
1940,"103,324","151,215,402"
1941,"125,489","151,215,402"
1942,"33,808","151,215,402"
1943,"8,203","151,215,402"
1944,"19,978","151,215,402"
1945,"41,349","151,215,402"
1946,"136,441","151,215,402"
1947,"142,975","151,215,402"
1948,"153,054","151,215,402"
1949,"166,506","151,215,402"
1950,"189,286","151,215,402"
1951,"637,785","151,215,402"
1952,"785,343","151,215,402"
1953,"942,966","151,215,402"
1954,"1,003,500","151,215,402"
1955,"1,104,700","151,215,402"
1956,"1,197,200","151,215,402"
1957,"1,306,300","151,215,402"
1958,"1,428,500","151,215,402"
1959,"1,529,600","151,215,402"
1960,"1,429,900","151,215,402"
1961,"1,492,400","151,215,402"
1962,"1,799,400","151,215,402"
1963,"2,158,800","151,215,402"
1964,"2,456,800","151,215,402"
1965,"2,507,000","151,215,402"
1966,"2,673,100","151,215,402"
1967,"2,643,700","151,215,402"
1968,"2,970,300","151,215,402"
1969,"3,134,400","151,215,402"
1970,"3,352,500","151,215,402"
1971,"2,556,400","151,215,402"
1972,"2,490,266","151,215,402"
1973,"2,228,600","151,215,402"
1974,"2,392,900","151,215,402"
1975,"2,173,500","151,215,402"
1976,"2,834,700","151,215,402"
1977,"3,258,000","151,215,402"
1978,"3,160,026","151,215,402"
1979,"2,446,171","151,215,402"
1980,"2,555,627","151,215,402"
1981,"2,643,644","151,215,402"
1982,"2,534,029","151,215,402"
1983,"1,532,035","151,215,402"
1984,"1,360,898","151,215,402"
1985,"1,334,483","151,215,402"
1986,"1,306,322","151,215,402"
1987,"1,450,791","151,215,402"
1988,"1,232,691","151,215,402"
1989,"1,331,659","151,215,402"
1990,"1,588,253","151,215,402"
1991,"1,625,752","151,215,402"
1992,"1,744,636","151,215,402"
1993,"2,568,689","151,215,402"
1994,"2,540,699","151,215,402"
1995,"2,731,015","151,215,402"
1996,"2,733,439","151,215,402"
1997,"2,658,762","151,215,402"
1998,"2,757,060","151,215,402"
1999,"2,680,025","151,215,402"
2000,"2,590,624","151,215,402"
2001,"2,535,108","151,215,402"
2002,"2,612,629","151,215,402"
2003,"2,355,693","151,215,402"
2004,"2,360,373","151,215,402"
2005,"2,463,442","151,215,402"
2006,"2,406,476","151,215,402"
2007,"2,588,574","151,215,402"
2008,"2,485,987","151,215,402"
2009,"2,580,081","151,215,402"
2010,"2,669,374","151,215,402"
2011,"2,587,437","151,215,402"
2012,"2,705,256","151,215,402"
2013,"2,688,794","151,215,402"
2014,"2,791,392","151,215,402"
2015,"3,149,921","151,215,402"
2016,"3,270,076","151,215,402"
2017,"3,317,000","151,215,402"

