Mariposa County, California, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189501,38.8
189502,41.9
189503,42.8
189504,48.8
189505,56.5
189506,65.5
189507,70.2
189508,69.9
189509,62.3
189510,55.9
189511,44.1
189512,37.9
189601,43.2
189602,42.3
189603,44.5
189604,43.5
189605,52.7
189606,66.5
189607,73.6
189608,70.1
189609,62.6
189610,56.1
189611,45.1
189612,43.0
189701,37.9
189702,37.7
189703,37.0
189704,50.4
189705,60.3
189706,64.2
189707,71.4
189708,71.4
189709,63.5
189710,53.7
189711,46.6
189712,38.8
189801,34.1
189802,44.8
189803,41.7
189804,52.1
189805,53.5
189806,65.4
189807,71.7
189808,72.4
189809,65.6
189810,56.6
189811,46.2
189812,38.6
189901,41.7
189902,42.7
189903,44.6
189904,51.2
189905,52.5
189906,66.9
189907,72.6
189908,67.4
189909,68.0
189910,52.9
189911,47.6
189912,38.5
190001,41.7
190002,42.3
190003,48.3
190004,46.8
190005,57.2
190006,67.3
190007,72.8
190008,68.4
190009,61.9
190010,55.4
190011,48.6
190012,40.4
190101,38.6
190102,41.6
190103,44.1
190104,46.6
190105,56.3
190106,64.6
190107,72.5
190108,72.1
190109,63.0
190110,59.1
190111,49.3
190112,40.2
190201,36.8
190202,42.0
190203,40.8
190204,47.1
190205,53.4
190206,67.9
190207,71.8
190208,70.6
190209,67.1
190210,55.8
190211,43.3
190212,39.7
190301,38.3
190302,34.3
190303,43.6
190304,47.4
190305,57.2
190306,68.7
190307,69.6
190308,72.0
190309,64.6
190310,57.8
190311,47.3
190312,40.6
190401,40.2
190402,41.5
190403,44.2
190404,48.2
190405,59.4
190406,66.3
190407,70.4
190408,73.6
190409,67.7
190410,56.0
190411,48.7
190412,40.2
190501,43.5
190502,44.1
190503,46.1
190504,50.6
190505,54.4
190506,66.1
190507,73.4
190508,71.8
190509,66.6
190510,57.2
190511,45.6
190512,38.1
190601,43.4
190602,44.8
190603,45.2
190604,47.6
190605,54.3
190606,61.1
190607,76.8
190608,73.9
190609,67.1
190610,59.4
190611,45.2
190612,41.2
190701,38.3
190702,47.2
190703,42.2
190704,53.5
190705,58.2
190706,64.3
190707,73.2
190708,71.0
190709,63.8
190710,58.5
190711,47.5
190712,42.1
190801,40.6
190802,40.4
190803,46.1
190804,54.2
190805,54.1
190806,63.6
190807,76.5
190808,72.9
190809,65.9
190810,53.6
190811,47.6
190812,38.2
190901,43.0
190902,40.4
190903,42.4
190904,53.0
190905,56.7
190906,65.9
190907,71.0
190908,70.7
190909,65.4
190910,54.8
190911,45.2
190912,38.0
191001,36.5
191002,40.5
191003,49.8
191004,55.2
191005,61.8
191006,63.4
191007,73.4
191008,70.8
