ParkName,Month,Entrance_Fee,Avg_Camp,Avg_Hotel,Avg_Car,Avg_Fly
Arches,Jan,30,,,,
Arches,Feb,30,,,,
Arches,Mar,30,,,,
Arches,Apr,30,,,,
Arches,May,30,,,,
Arches,Jun,30,,,,
Arches,Jul,30,,,,
Arches,Aug,30,,,,
Arches,Sep,30,,,,
Arches,Oct,30,,,,
Arches,Nov,30,,,,
Arches,Dec,30,,,,
Badlands,Jan,25,,,,
Badlands,Feb,25,,,,
Badlands,Mar,25,,,,
Badlands,Apr,25,,,,
Badlands,May,25,,,,
Badlands,Jun,25,,,,
Badlands,Jul,25,,,,
Badlands,Aug,25,,,,
Badlands,Sep,25,,,,
Badlands,Oct,25,,,,
Badlands,Nov,25,,,,
Badlands,Dec,25,,,,
Channel Islands,Jan,0,,,,
Channel Islands,Feb,0,,,,
Channel Islands,Mar,0,,,,
Channel Islands,Apr,0,,,,
Channel Islands,May,0,,,,
Channel Islands,Jun,0,,,,
Channel Islands,Jul,0,,,,
Channel Islands,Aug,0,,,,
Channel Islands,Sep,0,,,,
Channel Islands,Oct,0,,,,
Channel Islands,Nov,0,,,,
Channel Islands,Dec,0,,,,
Glacier,Jan,35,,,,
Glacier,Feb,35,,,,
Glacier,Mar,35,,,,
Glacier,Apr,35,,,,
Glacier,May,35,,,,
Glacier,Jun,35,,,,
Glacier,Jul,35,,,,
Glacier,Aug,35,,,,
Glacier,Sep,35,,,,
Glacier,Oct,35,,,,
Glacier,Nov,35,,,,
Glacier,Dec,35,,,,
Grand Teton,Jan,35,,,,
Grand Teton,Feb,35,,,,
Grand Teton,Mar,35,,,,
Grand Teton,Apr,35,,,,
Grand Teton,May,35,,,,
Grand Teton,Jun,35,,,,
Grand Teton,Jul,35,,,,
Grand Teton,Aug,35,,,,
Grand Teton,Sep,35,,,,
Grand Teton,Oct,35,,,,
Grand Teton,Nov,35,,,,
Grand Teton,Dec,35,,,,
Redwood,Jan,0,,,,
Redwood,Feb,0,,,,
Redwood,Mar,0,,,,
Redwood,Apr,0,,,,
Redwood,May,0,,,,
Redwood,Jun,0,,,,
Redwood,Jul,0,,,,
Redwood,Aug,0,,,,
Redwood,Sep,0,,,,
Redwood,Oct,0,,,,
Redwood,Nov,0,,,,
Redwood,Dec,0,,,,
Shenandoah,Jan,30,,,,
Shenandoah,Feb,30,,,,
Shenandoah,Mar,30,,,,
Shenandoah,Apr,30,,,,
Shenandoah,May,30,,,,
Shenandoah,Jun,30,,,,
Shenandoah,Jul,30,,,,
Shenandoah,Aug,30,,,,
Shenandoah,Sep,30,,,,
Shenandoah,Oct,30,,,,
Shenandoah,Nov,30,,,,
Shenandoah,Dec,30,,,,
Yellowstone,Jan,35,,,,
Yellowstone,Feb,35,,,,
Yellowstone,Mar,35,,,,
Yellowstone,Apr,35,,,,
Yellowstone,May,35,,,,
Yellowstone,Jun,35,,,,
Yellowstone,Jul,35,,,,
Yellowstone,Aug,35,,,,
Yellowstone,Sep,35,,,,
Yellowstone,Oct,35,,,,
Yellowstone,Nov,35,,,,
Yellowstone,Dec,35,,,,
Yosemite,Jan,35,,,,
Yosemite,Feb,35,,,,
Yosemite,Mar,35,,,,
Yosemite,Apr,35,,,,
Yosemite,May,35,,,,
Yosemite,Jun,35,,,,
Yosemite,Jul,35,,,,
Yosemite,Aug,35,,,,
Yosemite,Sep,35,,,,
Yosemite,Oct,35,,,,
Yosemite,Nov,35,,,,
Yosemite,Dec,35,,,,
Zion,Jan,35,,,,
Zion,Feb,35,,,,
Zion,Mar,35,,,,
Zion,Apr,35,,,,
Zion,May,35,,,,
Zion,Jun,35,,,,
Zion,Jul,35,,,,
Zion,Aug,35,,,,
Zion,Sep,35,,,,
Zion,Oct,35,,,,
Zion,Nov,35,,,,
Zion,Dec,35,,,,
